index,question,value,response,correct
0,What are the 2 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2e?,"3280000.0, 112228.0","174336#42423 |

### table
company name: otc_esocf

| unnamed: 0                                                                                                                                                               | unnamed: 1    |      2023 |      2022 | change   | change.1   |
|:-------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:--------------|----------:|----------:|:---------|:-----------|
| direct greenhouse gas emissions - scope 1                                  | mtco2eq       |    34.51  |    53.07  | (18.56)  | -35.0%     |
| indirect greenhouse gas emissions - scope 2 - location based               | mtco2eq       |     3.28  |     3.82  | (0.54)   | -14.1%     |
| indirect greenhouse gas emissions - scope 2 - market based                 | mtco2eq       |     4.51  |     5.1   | (0.59)   | -11.6%     |
| indirect greenhouse gas emissions - scope 3                                | mtco2eq       |    56.53  |    71.04  | (14.51)  | -20.4",False
1,Which companies have the 2 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2e?,"otc_esocf, nyse_az","axa#otsof_esofcf |

### table
company name: axa

| unnamed: 0                                                                                                                                                               |   base year 2019 |     2022 |     2023 | % 2023/2022   | target 2025   | % 2023/base year   |
|:-------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------:|---------:|---------:|:--------------|:--------------|:-------------------|
| scope 1 ghg emissions                                                                                                                                                    |            nan   |    nan   |    nan   | nan           | nan           | nan                |
| gross scope 1 ghg emissions                                                                                                                                              |          33617   |  21382   |  21598   | 1%            | -25%          | -36%               |
| scope 2 ghg emissions                                                                                                                                                    |            nan   |    nan   |    nan   | nan           | nan           | nan                |
| gross market-based scope 2 ghg emissions                                                                                                                                 |          59232   |  37172   |  307",False
2,What are the 3 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2-eq?,"142457.0, 14249.0, 3193.0","142497#142497#142497 | none |

### input tables

company name: otc_adddf

| unnamed: 0                                                                         |             2023 |             2022 |
|:-----------------------------------------------------------------------------------|-----------------:|-----------------:|
| scope 1 emissions (in tons co2e)                                                   |  21779           |  21856           |
| administrative offices                                                             |   9863           |  10752           |
| distribution centers                                                               |   5831           |   5128           |
| own retail stores                                                                  |   5160           |   5439           |
| showrooms                                                                          |    925           |    537           |
| scope 2 emissions, market-based (in tons co2e)                                     | 142457           | 142293           |
| administrative offices                                                             |  16349           |  13354           |
| distribution centers                                                               |  20311           |  21647           |
| own retail stores                                                                  | 102003           | 104480           |
| showrooms                                                                          |   3794           |   2812           |

company name: nasdaq_dasty

| unnamed: 0                                                                         |             2023 |             2022 |
|:-----------------------------------------------------------------------------------|-----------------:|-----------------:|
| scope 1 emissions (in tons co2e)                                                   |  21779           |  21856           |
| administrative offices                                                             |   9863           |  10752           |
| distribution centers                                                               |   5831           |   5128           |
| own retail stores                                                                  |   5160           |   5439           |
| showrooms                                                                          |    925           |    537           |
| scope 2 emissions, market-based (in tons co2e)                                     | 142457           | 142293           |
| administrative offices                                                             |  16349           |  13354           |
| distribution centers                                                               |  20311           |  21647           |
| own retail stores                                                                  |",False
3,What is the maximum amount of market-based scope 2 GHG emissions in 2022 among the following companies in MtCO2eq?,5.1,no answer in the response,False
4,What are the 2 lowest amounts of non-hazardous waste produced in 2022 (sorted in ascending order) among the following companies in tons?,"8430.0, 123311.0",1154#126 |,False
5,What are the 2 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in TCO2eq?,"168709.0, 770748.0",727100#770748,False
6,What is the lowest energy consumption over the last 2 years among the following companies in million kWh?,71.22,35056,False
7,Which companies have the 3 lowest amounts of non-hazardous waste produced in 2022 (sorted in ascending order) among the following companies in kt?,"vivendi, otc_su, nyse_tte","otc_su#vivendi#nyse_tte |

",False
8,What are the 2 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in TCO2eq?,"7635784.0, 3130824.0",770748#727100,False
9,Which company has the smallest water consumption from 2022 to 2023 among the following companies in million cubic meters?,otc_bayzf,otc_crerf,False
10,Which companies have the 3 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tons CO2e?,"otc_bayzf, otc_adddf, vivendi",otc_adddf#otc_bayzf#vivendi,False
11,What are the top 2 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in TJ?,"565200.0, 329775.0",response too long,False
12,Which companies have the top 2 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in TWh?,"nyse_tte, otc_su","otc_su#302-1, 302-4#1124327#nan |

",False
13,Which companies have the 2 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in Million metric tons of CO2 equivalents?,"vivendi, otc_bayzf",otc_bayzf#otc_esocf,False
14,What are the top 3 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in million kWh?,"33.09, 1124.33, 35056.0",33.09#33.27#1826 |,False
15,What is the highest amount of waste generated in the years 2023 and 2022 among the following companies in kt?,927.88,927880#818387 |,False
16,Which companies have the top 2 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in TJ?,"nyse_tte, heidelberg-materials",response too long,False
