0,1,2,3,4,5,6,7,8,9,10
Unnamed: 0,checked,"Error (0 no error, 1 value err, 2 unrelated, 3 hierarchical)",pdf name,gri,page nbr,table nbr,question,value,row,column
0,1,,NYSE_E_2023.pdf,302,163,0,What was the overall energy usage by the organization in millions of GJ for the year 2023?,516.2,,
1,1,1.0,NYSE_E_2023.pdf,302,163,0,What was the amount of electricity generated from renewable sources in GWh during 2022?,2836,,
2,1,2.0,NYSE_E_2023.pdf,302,163,0,What was the overall energy usage from non-renewable sources measured in millions of GJ for the year 2021?,552.5,,
3,1,,NYSE_E_2023.pdf,302,163,0,What was the volume of electricity exported to other companies in millions of GJ for the year 2023?,192.7,,
4,1,,NYSE_E_2023.pdf,302,163,0,What was the value of the energy intensity index for the organization in 2023?,123,,
5,1,,NYSE_E_2023.pdf,302,163,0,What was the overall energy usage derived from renewable sources in millions of GJ for the year 2021?,1.5,,
6,1,1.0,NYSE_E_2023.pdf,302,163,0,What was the overall energy usage by the organization in millions of GJ for the year 2022?,503.2,,
7,1,,NYSE_E_2023.pdf,302,163,0,What was the volume of heat sold to other companies in millions of GJ for the year 2023?,5.2,,
8,1,2.0,NYSE_E_2023.pdf,302,163,0,What was the overall energy usage derived from renewable sources in millions of GJ for the year 2021?,1.5,,
9,1,1.0,NYSE_E_2023.pdf,302,163,0,What was the amount of electricity generated from renewable sources in GWh during the year 2021?,1.166,,
10,1,2.0,NYSE_E_2023.pdf,302,86,0,What was the overall quantity of crude oil acquisitions in 2023 (mmtonnes)?,19.08,,
11,1,2.0,NYSE_E_2023.pdf,302,86,0,What was the volume of intermediate product purchases in 2022 (mmtonnes)?,0.07,,
12,1,2.0,NYSE_E_2023.pdf,302,86,0,What was the overall quantity of purchases noted in 2021 (mmtonnes)?,29.77,,
13,1,2.0,NYSE_E_2023.pdf,302,86,0,What was the overall availability of crude oil in the year 2023 (in mmtonnes)?,28.28,,
14,1,2.0,NYSE_E_2023.pdf,302,86,0,What was the amount of product purchases in 2022 (mmtonnes)?,10.66,,
15,1,2.0,NYSE_E_2023.pdf,302,86,0,What was the quantity of equity crude oil in 2021 (in mmtonnes)?,3.85,,
16,1,2.0,NYSE_E_2023.pdf,302,86,0,What was the difference in total crude oil purchases between 2022 and 2023 (mmtonnes)?,-0.07,,
17,1,2.0,NYSE_E_2023.pdf,302,86,0,What was the percent change in equity crude oil between 2022 and 2023?,-9.1,,
18,1,2.0,NYSE_E_2023.pdf,302,86,0,What was the quantity of other crude oil in 2023 (in mmtonnes)?,14.51,,
19,1,2.0,NYSE_E_2023.pdf,302,86,0,What was the difference in the purchases of intermediate products between 2021 and 2022 (mmtonnes)?,-0.05,,
20,1,,NYSE_E_2023.pdf,303,178,0,What was the overall volume of water withdrawn in 2023 (in million cubic meters)?,1224,,
21,1,3.0,NYSE_E_2023.pdf,303,178,0,What was the volume of seawater extracted in 2022 (in million cubic meters)?,1283,,
22,1,3.0,NYSE_E_2023.pdf,303,178,0,What was the total amount of freshwater extracted in 2021 measured in million cubic meters?,117,,
23,1,3.0,NYSE_E_2023.pdf,303,178,0,What was the total amount of water extracted from surface water sources in 2023 measured in million m3?,97,,
24,1,3.0,NYSE_E_2023.pdf,303,178,0,What was the volume of water extracted from underground sources in 2022 measured in million cubic meters?,17,,
25,1,,NYSE_E_2023.pdf,303,178,0,What was the overall water discharge for the year 2023 (in million cubic meters)?,1118,,
26,1,1.0,NYSE_E_2023.pdf,303,178,0,What was the overall amount of freshwater released in regions experiencing water stress in 2022 (million m3)?,18.8,,
27,1,,NYSE_E_2023.pdf,303,178,0,What was the overall water usage in 2023 measured in million cubic meters?,128,,
28,1,1.0,NYSE_E_2023.pdf,303,178,0,What was the total water usage noted in regions experiencing water stress in 2021 (million m3)?,34.3,,
29,1,,NYSE_E_2023.pdf,303,178,0,What was the overall amount of water discharged in regions experiencing water stress in 2023 measured in million m3?,25.3,,
30,1,,NYSE_E_2023.pdf,304,179,0,How many species are recorded on the IUCN Red List that have habitats in regions impacted by the organization's activities in 2023?,1,,
31,1,,NYSE_E_2023.pdf,304,179,0,What is the number of KBAs located in regions impacted by the organization's activities in 2023?,8,,
32,1,,NYSE_E_2023.pdf,304,179,0,How many Natura 2000 sites are located within regions impacted by the organization's activities in 2023?,11,,
33,1,,NYSE_E_2023.pdf,304,179,0,How many Other Protected Areas are located within regions impacted by the organization's activities in 2023?,12,,
34,1,,NYSE_E_2023.pdf,304,179,0,What is the number of Ramsar sites located in regions impacted by the organization's activities in 2023?,2,,
