"Significant subsidiary;Date of incorporation;Country of incorporation;Principal activity;Financial and voting interest
Aventis Inc.;July 1, 1968;United States;Pharmaceuticals;100%
Genzyme Corporation;November 21, 1991;United States;Pharmaceuticals;100%
Genzyme Europe B.V.;October 24, 1991;Netherlands;Pharmaceuticals;100%
Hoechst GmbH;July 8, 1974;Germany;Pharmaceuticals;100%
Sanofi-Aventis Deutschland GmbH;June 30, 1997;Germany;Pharmaceuticals;100%
Sanofi-Aventis Participations SAS;February 25, 2002;France;Pharmaceuticals;100%
Sanofi-Aventis Singapore Pte Ltd;May 14, 1997;Singapore;Pharmaceuticals;100%
Sanofi Biotechnology;December 23, 2013;France;Pharmaceuticals;100%
Sanofi Foreign Participations B.V.;April 29, 1998;Netherlands;Pharmaceuticals;100%
Sanofi Winthrop Industrie;December 11, 1972;France;Pharmaceuticals;100%
Sanofi Pasteur Inc.;January 18, 1977;United States;Pharmaceuticals;100%"
