";Description;Indication
Dupixent*;Anti-IL-4/IL-13 mAb;Ulcerative Colitis
amlitelimab;Anti-OX40L mAb;Asthma
amlitelimab;Anti-OX40L mAb;Hidradenitis Suppurativa
rilzabrutinib;BTK inhibitor;IgG4-related disease
rilzabrutinib;BTK inhibitor;Asthma
rilzabrutinib;BTK inhibitor;Chronic Spontaneous Urticaria
frexalimab®;Anti-CD40L mAb;Sjogren’s Syndrome
frexalimab®;Anti-CD40L mAb;Systemic Lupus Erythematosus
frexalimab®;Anti-CD40L mAb;Type 1 Diabetes
SAR441566;Oral TNFR1 signaling inhibitor;Psoriasis
SAR441566;Oral TNFR1 signaling inhibitor;Rheumatoid Arthritis
lunsekimig;Anti-IL-13/TSLP Nanobody® VHH;Asthma
eclitasertib®;RIPK1 inhibitor;Ulcerative Colitis
riliprubart;Complement C1s inhibitor;Antibody-Mediated Rejection
SAR444656°;IRAK4 degrader;Hidradenitis Suppurativa
SAR444656°;IRAK4 degrader;Atopic Dermatitis
SAR442970;Anti-TNFa/OX40L Nanobody® VHH;Hidradenitis Suppurativa
SAR447189&amp;;Anti-TL1A mAb;Ulcerative Colitis
SAR447189&amp;;Anti-TL1A mAb;Crohn’s disease
Sarclisa;Anti-CD38 mAb + combinations;Relapsed, Refractory MM"
