"(€ milion);Netsales;NEA;(reported);States;een);Europe;NER);thewond;(CER)
DUPIXENT;10,715;+34.0%;+29.2%;8145;+32.6%;1,224;+30.9%;1,346;+46.1%
AUBAGIO;955;-52.6%;-53.0%;460;-67.8%;437;-14.3%;58;-33.0%
MYOZYME;783;-15.1%;-18.3%;254;-17.9%;341;16.4%;188;-9.1%
FABRAZYME.;991;411.2%;+5.7%;503;+9.8%;241;+6.1%;247;+18.8%
CEREZYME;687;+9.1%;-2.8%;189;+0.5%;229;-3.3%;269;+25.9%
ELOCTATE;471;-15.5%;-18.8%;341;-22.0%;=;—h;130;+6.9%
ALPROLIX;540;+11.3%;+7.1%;440;411.6%;=;—h;100;+10.2%
NEXVIAZYME;425;+126.0%;+116.8%;272;+77.8%;100;+494.1%;53);+190.5%
JEVTANA;320;-14.8%;-18.2%;230;14.2%;12;-63.6%;78;+2.4%
SARCLISA;381;+37.1%;+29.6%;165;+33.9%;m;+27.3%;105;+53.2%
KEVZARA;357;+9.7%;+5.3%;195;+8.6%;15;+8.5%;47;417.0%
CERDELGA;298;46.9%;+3.5%;164;+5.6%;18;+6.3%;16;+23.5%
; ; ; ; ; ; ; ; ; 
ALDURAZYME;279;412.0%;+4.5%;67;+13.1%;82;-47%;130;+23.3%
CABLIVI;227;+10.0%;+7.6%;12;+4.5%;98;+4.3%;7;+171.4%
FASTURTEC;170;1.1%;-4.0%;110;—h;43;-8.3%;7;412.5%
; ; ; ; ; ; ; ; ; 
ENJAYMO;72;+240.9%;+227.3%;42;+152.9%;6;—h;24;+420.0%
XENPOZYME;1;+347.6%;+333.3%;52;+980.0%;31;;8;+800.0%
; ; ; —; ; ; ; +106.7%; ; 
ALTUVIIO;159;—h;—%;155;—h;=;—h;4;—%
Other;19;-46.3%;-50.4%;21;-32.3%;18;-80.4%;80;-23.1%
Total Specialty Care;18,040;+14.2%;+9.6%;11,917;+13.2%;3,206;+6.7%;2,917;+26.6%
TOUJEO;1,123;+6.2%;+0.5%;213;-23.0%;44);+5.5%;469;+26.9%
LOVENOX;1,125;-8.7%;-14.1%;7;-58.8%;622;-5.5%;496;-10.7%
PLAVIX;948;+4.4%;-3.6%;8;1.1%;96;-5.0%;844;+5.6%
;478;+14.1%;+7.2%;292;411.9%;37;+8.8%;149;419.6%
THYMOGLOBULIN; ; ; ; ; ; ; ; ; 
MULTAQ;344;-7.6%;-10.2%;310;-8.1%;12;-25.0%;22;+415.0%
PRALUENT;422;415.2%;412.2%;(1);-101.8%;296;+30.6%;127;+46.7%
REZUROCK;310;+54.6%;+49.8%;303;+51.9%;5;+400.0%;2;—%
MOZOBIL;220;-14.6%;-15.7%;19;-22.1%;70;+6.0%;31;-20.0%
SOLIQUA/SULIQUA;217;+5.6%;+0.9%;95;-18.5%;a);+241%;87;+40.3%
Other Core Assets;1,083;+3.5%;-0.7%;139;-25.8%;374;+3.9%;570;+13.8%
; ; ; ; ; ; ; ; ; 
Total Core Assets;6,270;+3.3%;-1.9%;1,485;-7.7%;1,988;+4.2%;2,797;+9.3%
LANTUS;1,420;-32.3%;-37.1%;281;-62.6%;357;-15.7%;782;-17.5%
; ; ; ; ; ; ; ; ; 
APROVEL/AVAPRO;417;-8.8%;-12.8%;©);+28.6%;78;-4.9%;330;-10.3%
Other Non-Core Assets;3,687;-9.2%;-15.8%;302;-24.5%;961;+14.6%;2,424;-4.9%
Total Non-Core Assets;5,524;-16.5%;-22.4%;592;-48.7%;1,396;+14.4%;3,536;-8.5%
Industrial Sales;582;-5.5%;-6.1%;7;-58.8%;548;-6.1%;27;+75.0%
Total General Medicines;12,376;-7.1%;-12.4%;2,084;-24.9%;3,932;-4.6%;6,360;-1.3%
Influenza vaccines;2,669;-5.5%;-10.3%;1,406;-12.8%;694;+41.9%;569;+8.2%
Polio/Pertussis/Hib vaccines;2,165;-0.1%;-5.3%;398;-10.5%;297;-8.6%;1,470;+4.9%
Meningitis, travel and endemics vaccines;1,170;+0.5%;-3.5%;650;-0.7%;154;+41.3%;366;-8.1%
Booster vaccines;598;45.1%;+1.9%;323;+41.2%;180;+416.9%;95;—h
Respiratory Syncytial Virus;547;—%;—h;407;—%;140;—%;-;—h
Other vaccines;325;+96.4%;+94.6%;80;-24%;232;+223.6%;13;+418.2%
Total Vaccines;7,474;+8.3%;+3.4%;3,264;+14.9%;1,697;+26.6%;2,513;+3.3%"
