"SAR444336;Non-beta IL-2 Synthorin™ molecule;Inflammatory indication
SAR444559;Anti-CD38 mAb Next Generation;Inflammatory indication
SAR445611;Anti-CX3CR1 Nanobody® VHH;Inflammatory indication
SAR445399;Anti-IL1R3 mAb;Inflammatory indication
SAR446422;Anti-CD28/0X40 bispecific Ab;Inflammatory indication
SAR444881*;Anti-ILT2 mAb;Solid tumors
SAR445419;NK-Cell-based immunotherapy;Acute Myeloid Leukemia
SAR445877;Anti-PD1/IL-15 fusion protein;Solid tumors
SAR443579°;Trifunctional anti-CD123 NK-Cell engager;Acute Myeloid Leukemia
SAR445514®;Trifunctional anti-BCMA NK-Cell engager;Relapsed, Refractory MM
SAR446309;HER2 T-Cell engager;Solid tumors
SAR444200;Anti-GPC3/TCR Nanobody® VHH;Solid tumors
SAR445953°;Anti-CEACAM5/Topo1 ADC;Colorectal cancer
pegenzileukin;Non-alpha IL-2 Synthorin™ molecule (dose optimization);Solid tumors
SAR446159°;Anti-Synuclein/IGF1R mAb;Parkinson’s disease"
