"csv
(€ million);Gross value;Accumulated amortization&amp; impairment;December 31, 2023;Amortization period (years);Residual amortization period (years)?;Carrying amount at December 31, 2022;Carrying amount at December 31, 2021
Genzyme;10,279;(10,071);208;10;2;621;1,032
Boehringer Ingelheim Consumer Healthcare;3,504;(1,698);1,806;17;11;2,037;2,213
Aventis;33,043;(33,000);43;9;11;58;73
Chattem;1,319;(818);501;23;10;574;593
Protein Sciences;831;(411);420;13;7;498;532
Ablynx;1,966;(746);1,220;14;9;1,357;1,494
Bioverativ®;8,798;(3,646);5,152;14;9;4,836;3,065
REZUROCK;1,907;(327);1,580;12;10;1,702;1,750
TZIELD;2,546;(141);2,405;12;12;-;-
BEYFORTUS;1,946;(76);1,870;18;17;180;-
Qunol;741;(19);722;10;9;-;-
Total: principal marketed products;66,880;(50,953);15,927;11;10;-"
