"Name;Description;Indication
Dupixent*;Anti-IL-4/IL-13 mAb;Chronic Spontaneous Urticaria
Dupixent*;Anti-IL-4/IL-13 mAb;Bullous Pemphigoid
Dupixent*;Anti-IL-4/IL-13 mAb;Chronic Pruritus of Unknown Origin
Dupixent*;Anti-IL-4/IL-13 mAb;Eosinophilic Gastritis
itepekimab“;Anti-IL-33 mAb;Chronic Obstructive Pulmonary Disease
amlitelimab;Anti-OX40L mAb;Atopic Dermatitis
Tzield;Anti-CD3 mAb;Type 1 Diabetes
Rezurock;ROCK2 inhibitor;Chronic Lung Allograft Dysfunction
Sarclisa;Anti-CD38 mAb + combinations;1L Newly Diagnosed MM Ti
Sarclisa;Anti-CD38 mAb + combinations;1L Newly Diagnosed MM Te
Sarclisa;Anti-CD38 mAb + combinations;Smoldering MM
Sarclisa;Anti-CD38 mAb SubQ, + combinations;2/3L Relapsed, Refractory MM
Rezurock;ROCK2 inhibitor;1L chronic Graft-Versus-Host Disease
tolebrutinib;BTK inhibitor;Relapsing Multiple Sclerosis
tolebrutinib;BTK inhibitor;Primary Progressive MS
tolebrutinib;BTK inhibitor;Non-relapsing Secondary Progressive MS
frexalimab®;Anti-CD40L mAb;Relapsing Multiple Sclerosis
frexalimab®;Anti-CD40L mAb;Non-relapsing Secondary Progressive MS
Nexviazyme venglustat venglustat venglustat;Enzyme Replacement Therapy (GAA);Pompe Disease - Infantile Onset
Nexviazyme venglustat venglustat venglustat;Oral GCS inhibitor;GM2 Gangliosidosis
Nexviazyme venglustat venglustat venglustat;Oral GCS inhibitor;Gaucher Disease Type 3
Nexviazyme venglustat venglustat venglustat;Oral GCS inhibitor;Fabry Disease
fitusiran fitusiran rilzabrutinib;RNAi targeting anti-thrombin;Hemophilia A and B
fitusiran fitusiran rilzabrutinib;RNAi targeting anti-thrombin;Hemophilia A and B pediatric
fitusiran fitusiran rilzabrutinib;BTK inhibitor;Immune Thrombocytopenia
MenQuadfi SP0087;Meningococcal (A,C,Y,W) conjugate vaccine;Meningitis 6w+ (U.S./EU)
MenQuadfi SP0087;Purified vero rabies vaccine;Rabies
sP0282¢;9-valent Extraintestinal Pathogenic E. Coli vaccine (ExPEC9V);Invasive ExPEC disease"
