"Intellectual capital;198
Management of the electricity system;199
Innovation;202
Ethical business conduct;207
Respect for human rights;208
Protection of legality and integrity;209
Preventing corruption;216
Supply chain sustainability;218
Human Capital;224
Employee overview;225
Diversity, inclusion and equal opportunities;229
Recruitment, selection and development;234
Training;237
Dialogue between Company and employees: Industrial relations;240
Workplace health and safety;241
Company welfare;248
Social and relationship capital;250
Stakeholder dialogue and communication channels;252
Networking;256
Engagement with local communities;259
Community initiatives;264
Communication activities;268
Economic value created and distributed to stakeholders;270"
