;Group;Group;Group;Terna;Terna;Terna
;2023;2022;2021;2023;2022;2021
Purchased goods and services;152730.8;122650.7;98638.4;24041.4;4120.1;1308.7
Capital goods;355647.2;81294.8;27447.8;355647.2;81294.8;27447.8
Energy and fuel related activities;470898.1;468983.8;475907.6;468777.2;466686;473450.6
Upstream transportation and distribution;6833.7;1142.9;395;6833.7;1142.9;395
Waste generated in operations;16511.7;3945.9;2321.8;16511.7;3945.9;2321.8
Business travel;1137.6;985.8;918;885.5;712;918
Employee commuting;10075.9;9321.1;8731.2;8275.6;7690.8;7180.8
Downstream transportation and distribution;274.1;233.2;502.7;na;na;na
Use of products sold;1166872.1;965738.9;973225.1;na;na;na
End-of-life treatment of products sold;141;105.4;132.2;na;na;na
