";2023;2022;2021;2023;2022;2021
;Women out of total employees;;;;;;
- women out of total;17.4;16.1;15.1;18.0;17.0;15.6
~ women Out of total, without taking info account;23.3;22.0;21.0;23.3;21.9;20.7
- female senior managers out of total senior managers;19.6;17.6;15.1;22.5;19.2;16.2
7 female senior managers out of total;20.8;20.4;20.1;21.9;21.3;20.9
- Female middle managers out of total middle managers;21.0;20.7;20.7;21.9;21.5;21.4
;Employment growth %;;;;;;
- annual change in women;18.5;16.9;15.8;14.5;16.7;17.5
- annual change in men;10.0;8.2;5.4;6.2;5.3;5.7
;Staff leaving ®;;;;;;
- women leaving;5.1;3.7;4.0;3.0;3.2;2.5
- men leaving;5.0;4.4;4.0;3.1;3.9;3.3
;Staff joining ©;;;;;;
- women joining;20.1;19.4;19.6;17.5;19.9;19.9
- men joining;11.7;9.6;9.4;9.3;12.9;9.0
;Management positions;;;;;;
. Senior managers out of total women (excluding);20;19;18;23;20;18
- Senior managers out of total men (excluding blue-collar);25;25;26;24;23;25
;Promotions;;;;;;
- Senior manager as % of category of;15;3.0;37;17;3.0;4.0
- Promotion middle manager as % of category of;22;3.4;34;23;3.4;35
;Pay gap between men and women as a % ©;;;;;;
- senior managers;94.7;81.9;86.3;99.0;80.7;85.1
- middle managers;93.1;93.3;95.0;94.7;94.7;95.7
- Office staff;96.6;98.2;96.7;100.5;100.5;99.5
;Pay gap between men and women as a % ©;;;;;;
- senior managers;93.0;80.6;79.8;87.4;78.0;77.9
- middle managers;92.7;93.7;95.6;94.5;95.1;96.3
- Office staff;91.2;93.7;92.2;94.7;95.5;94.7
;Other indicators - Equal opportunities;;;;;;
- Total managers in revenue;74;93;124;48;6.0;W4"
