";TYPE;OF SECURITISED ASSETS/EXPOSURE;SENIOR;WRITE-DOWNS/;MEZZANINE;WRITE-DOWNS/;JUNIOR;WRITE-DOWNS
;A. Totally;derecognised;0;0;0;0;0;0
;A1;Residential mortgages;100;0;50;0;25;0
;A2;Loans to corporates;200;0;100;0;50;0
;A3;Loans to SME;150;0;75;0;37.5;0
;A4;Leasing;80;0;40;0;20;0
;B.;Partially derecognised;0;0;0;0;0;0
;B.1;Loans to SME;120;0;60;0;30;0
;C.;Not-derecognised;0;0;0;0;0;0
;CA;Residential mortgages;90;0;45;0;22.5;0
;C2;Loans to corporates;110;0;55;0;27.5;0
;C3;Loans to SME;130;0;65;0;32.5;0
;C4;Leasing;70;0;35;0;17.5;0
;C5;Consumer loans;60;0;30;0;15;0"
