";POSITION;MEMBERS;SINCE;UNTIL (*);;2;BOARD MEETINGS ATTENDANCE % (***);E Q Sg a = fa = ° z ui 2 2
;Chairman;Padoan Pietro Carlo;04.15.2021;Approval of 2023 financial statements;;xX;3;~
;CEO;Orcel Andrea;04.15.2021;Approval of 2023 financial statements;= M;xX;95.65;1
;Director;Cariello Vincenzo;04.15.2021;Approval of 2023 financial statements;m;xX;95.65;1
;Director;Carletti Elena;04.15.2021;Approval of 2023 financial statements;M;xX;100;-
;Director;Hedberg Jeffrey Alan;04.15.2021;Approval of 2023 financial statements;M;xX;100;-
;Director;Lara Bartolomé Beatriz Ángela;04.15.2021;Approval of 2023 financial statements;M;xX;91.30;2
;Director;Molinari Luca;04.15.2021;Approval of 2023 financial statements;M;xX;100;1
;Director;Pierdicchi Maria;04.15.2021;Approval of 2023 financial statements;M;xX;95.65;2
;Director;Tondi Francesca;04.15.2021;Approval of 2023 financial statements;m;xX;91.30;~
;Director;Wagner Renate;04.15.2021;Approval of 2023 financial statements;M;xX;91.30;6
;Director;Wolfgring Alexander;04.15.2021;Approval of 2023 financial statements;M;xX;91.30;2
;;_— Directors who left during the Period -----;;;;
;Director Gadhia Jayne-Anne;04.15.2021;02.7.2023;M;xX;100;1
;Quorum required for;the submission of the slates;for the latest;appointment: 0.5%;;;;"
