";2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013
Reclassified income statement (€ million);;;;;;;;;;
Revenue;23,843;20,343;17,954;17,140;18,839;19,723;19,619;18,801;22,405;22,513;23,973
Operating costs;(9,471);(9,560);(9,797);(9,805);(9,929);(10,698);(11,350);(12,453);(13,618);(13,838);(14,801)
Gross profit (loss);14,372;10,782;8,158;7,335;8,910;9,025;8,268;6,348;8,787;8,675;9,172
Operating Profit before tax;11,451;7,289;1,236;(1,546);3,065;3,619;4,148;(10,978);2,671;4,091;(4,888)
Net profit (loss) for the period;9,537;6,473;1,570;(1,842);3,559;4,112;5,790;(11,061);2,239;2,669;(3,920)
Group stated net profit (loss);9,507;6,458;1,540;(2,785);3,373;3,892;5,473;(11,790);1,694;2,008;(13,965)
Reclassified balance sheet (€ million);;;;;;;;;;
Total assets;784,974;857,773;916,671;931,456;855,647;831,469;836,790;859,533;860,433;844,217;845,838
Loans to customers;429,452;455,781;437,544;450,550;482,574;471,839;447,727;444,607;473,999;470,569;503,142
Of which: bad exposures;753;601;1,121;1,645;2,956;5,787;9,499;10,945;19,924;19,701;18,058
Deposits from customers and debt;;;;;;;;;
Securities issued;585,561;594,300;596,402;600,964;566,871;560,141;561,498;567,855;584,268;560,688;571,024
Group shareholders’ equity;64,079;63,339;61,628;59,507;61,416;55,841;59,331;39,336;50,087;49,390;46,841
Profitability ratios (%);;;;;;;;;;
Gross operating profit (loss)/Total assets;1.83;1.26;0.89;0.79;1.04;1.09;0.99;0.74;1.02;1.03;1.08
Cost/income ratio;39.7;47.0;54.6;57.2;52.7;54.2;57.9;66.2;60.8;61.5;61.7"
