"The Hartford Steam;24
Boiler Inspection and Insurance Company;munich re group
New Reinsurance Company Ltd. new/re;munich re group annual report 2023
American Modern Insurance Group, Inc.;our brands
Digital Partners;the detailed breakdown of participations can be seen in the notes to the consolidated financial statements
Bell &amp; Clements Ltd.;list of shareholdings as at 31 december 2023
Groves, John &amp;;pursuant to section 313(2) of the german commercial code (hgb).
Westrup Ltd.;
MedNet Holding GmbH;
NMU Specialty Ltd. Parachute Digital;
Solutions, Inc.;
Relayr Inc. Roanoke Insurance;"
