"Company and registered seat;of capital ———
FOTOUNO S.r.., Brixen;100.0000
FOTOWATIO ITALIA GALATINA S.r.l., Brixen;100.0000
FREE MOUNTAIN SYSTEMS S.L,, Madrid;100.0000
FS Louisiana | LLC, Wilmington, Delaware;100.0000
FS Louisiana II LLC, Wilmington, Delaware;100.0000
FS San Augustine LLC, Wilmington, Delaware;100.0000
Fundo Invest Exclusivo referenciado di Munich Re Brasil,;99.7900
FW Zary Sp.z.o.0., Warsaw;100.0000
Gaucheret S.A,, Ixelles;100.0000
GHGH Holdings Inc., Vancouver, British Columbia;100.0000
Global Standards LLC, Dover, Delaware;100.0000
Great Lakes Insurance SE, Munich;100.0000
Great Lakes Insurance UK Limited, London;100.0000
GroupHEALTH Global Benefit Systems Inc.,;100.0000
Vancouver, British Columbia;100.0000
GroupHealth Northern Partners Inc.,;100.0000
Vancouver, British Columbia;100.0000
GroupSource GP Inc., Vancouver, British Columbia;100.0000
GroupSource Limited Partnership, Calgary, Alberta’;100.0000
Groves, John &amp; Westrup Limited, Liverpool;100.0000
Habiriscos — Investimentos Imobiliarios, S.A., Lisbon;100.0000
Haley Silva LP, Wilmington, Delaware;100.0000
Hartford Steam Boiler (M) SDN BHD, Kuala Lumpur;100.0000
Hartford Steam Boiler (Singapore) Pte. Ltd., Singapore;100.0000
Hartford Steam Boiler International GmbH, Rheine;100.0000
Hartford Steam Boiler Ireland Limited, Dublin;100.0000
HMV GFKL Beteiligungs GmbH, Düsseldorf;100.0000
Houten Property B.V., Amsterdam;100.0000
HSB Brasil Servicos de Engenharia Inspecao Ltda,;100.0000
e So Paulo;100.0000
HSB Finance Dover, Delaware;100.0000
Engineering Corporation,;100.0000
HSB Engineering Insurance Limited, Manchester;100.0000
HSB Engineering Insurance Services Limited, London;100.0000
HSB Fund | LP, Dover, Delaware*;100.0000
HSB Inc., Dover, Delaware;100.0000
Group;100.0000
HSB International (India) Private Limited, Vadodara;100.0000
HSB Japan K.K., Tokyo;100.0000
HSB Secure Services Inc., Hartford, Connecticut;100.0000
HSB Solomon Associates Canada Ltd.,;100.0000
Saint John, New Brunswick;100.0000
HSB Solomon Associates LLC, Dover, Delaware;100.0000
HSB Specialty Insurance Company,;100.0000
Hartford, Connecticut HSB Technical Consulting &amp; Service (Shanghai) Co. Ltd.,;100.0000
Shanghai;100.0000
Ibero Property Portugal — Investimentos Imobiliarios S.A., Lisbon;100.0000
lbero Property Trust S.A., Madrid;100.0000
IDEENKAPITAL Financial Service GmbH i. L.,;100.0000
Düsseldorf;100.0000
IDEENKAPITAL GmbH, Düsseldorf;100.0000
IDEENKAPITAL Media Finance GmbH i. L., Düsseldorf;100.0000
IDEENKAPITAL Metropolen Europa GmbH &amp; Co. KG,;72.3477"
