"; ; ; ; ; ERGO; ; Total
; Life and Health; ; Property-casualty; ; International; 
; Germany; ; Germany; ; ; 
31.12.2023; Prev. year; 31.12.2023; Prev. year; 31.12.2023; Prev. year; 31.12.2023; Prev. year
62; 67; 1,388; 1,374; 212; 181; 4,084; 4,284
16; 17; 381; 311; 431; 342; 4,014; 3,892
287; 239; 264; 174; 53; 60; 7,193; 5,977
103,719; 101,010; 8,133; 7,411; 16,224; 14,929; 218,462; 207,965
563; 456; 72; 59; 1,163; 1,071; 6,409; 5,491
5,778; 5,239; 0; 0; 2,502; 2,231; 8,280; 7,470
412; 380; 0; 0; 0; 0; 9,872; 18,298
137; 0; 5; 0; 282; 269; 446; 392
4,843; 5,679; 1,360; 1,286; 1,309; 1,105; 21,443; 21,113
115,254; 112,631; 11,532; 10,556; 21,013; 19,117; 273,793; 269,391"
