";Life and Health;;;Property-casualty;;;International;;
;Germany;;Germany;;;Prev. year;;Prev. year;;
2023;Prev. year;2023;Prev. year;2023;Prev. year;2023;Prev. year
9,942;9,802;4,539;4,227;5,618;4,867;57,884;55,385
-7,681;-7,293;-2,677;-2,687;-3,354;-3,049;-41,481;-40,393
52;-156;-2;-10;-2;-42;48;-208
-1,307;-1,160;-1,335;-1,203;-1,539;-1,340;-8,617;-7,807
0;0;0;0;0;0;0;0
-8,936;-8,609;-4,015;-3,899;-4,894;-4,431;-50,051;-48,408
1,006;1,193;524;328;723;436;7,834;6,977
-9;-8;-68;-99;-229;-198;-1,577;-1,610
4;3;39;171;133;104;788;1,412
-5;-4;-29;72;-96;-94;-789;-198
1,001;1,189;495;400;627;343;7,045;6,779
23;-130;0;0;-2;4;501;291
1,024;1,059;495;400;625;347;7,545;7,070
2,323;1,379;209;113;410;182;5,374;2,983
-71;253;-11;-12;-15;-9;-292;1,067
565;-750;0;0;250;-390;816;-1,140
-2,983;-816;-66;19;-627;188;-5,490;-1,083
-1;0;2;-1;9;4;99;23
-2,984;-816;-64;18;-618;192;-5,391;-1,060
-167;66;134;118;28;-25;507;1,850
191;188;109;106;179;95;1,316;1,089
-851;-871;-341;-323;-461;-271;-3,667;-3,197
197;442;397;301;370;146;5,702;6,812
53;16;-49;-7;-36;-35;-168;-179
-67;-152;-96;-121;-48;-18;-936;-1,324
183;307;252;173;286;92;4,597;5,309"
