"csv
Description;% ;Description;€m
The weighted average value of all the investments of insurance or reinsurance undertakings that are directed at funding, or are associated with Taxonomy-aligned economic activities relative to the value of total assets covered by the KPI, with following weights for investments in undertakings per below:;;The weighted average value of all the investments of insurance or reinsurance undertakings that are directed at funding, or are associated with Taxonomy-aligned economic activities, with following weights for investments in undertakings per below:;
Turnover-based:;2.2;Turnover-based:;3.488
CapEx-based:;2.5;CapEx-based:;3.861
The percentage of assets covered by the KPI relative to total investments of insurance or reinsurance undertakings (total AuM). Excluding investments in sovereign entities.;;The monetary value of assets covered by the KPI. Excluding investments in sovereign entities.;
Coverage ratio: Additional, complementary disclosures: breakdown of The of derivatives relative to total assets;63.3;Coverage ratio: the KPI The value in amounts of derivatives.;156.093
percentage covered by the KPI.;2.0;monetary;3.176
The proportion of exposures to financial and non- financial undertakings not subject to Articles 19a and 29a of Directive 2013/34/EU over total assets covered by the KPI:;;Value of exposures to financial and non-financial undertakings not subject to Articles 19a and 29a of Directive 2013/34/EU:;
For financial undertakings: The proportion of exposures to financial and non- financial undertakings from non-EU countries not subject to Articles 19a and 29a of Directive 2013/34/EU over total assets covered by the KPI:;36.5;For financial undertakings: Value of exposures to financial and non-financial undertakings from non-EU countries not subject to Articles 19a and 29a of Directive 2013/34/EU:;57.012
For non-financial undertakings:;22.0;For non-financial undertakings:;34.374
For financial undertakings:;18.5;For financial undertakings:;28.917
The proportion of exposures to financial and non- financial undertakings subject to Articles 19a and 29a of Directive 2013/34/EU over total assets covered by the KPI:;;Value of exposures to financial and non-financial undertakings subject to Articles 19a and 29a of Directive 2013/34/EU:;
For non-financial undertakings:;4.7;For non-financial undertakings:;7.381
For financial undertakings:;7.2;For financial undertakings:;11.261
The proportion of exposures to other counterparties and assets over total assets covered by the KPI:*;27.5;Value of exposures to other counterparties and assets:;42.889
The proportion of the insurance or reinsurance undertaking’s investments other than investments held in respect of life insurance contracts where the investment risk is borne by the policy holders:;94.9;Value of insurance or reinsurance undertaking's investments other than investments held in respect of life insurance contracts where the investment risk is borne by the policy holders:;148.160"
