";Gross carrying amount;Loss allowance;Gross carrying amount;Loss allowance;Gross carrying amount;Loss allowance;Gross carrying amount;Loss allowance;Total
€m;Stage 1;Stage 1;Stage 2;Stage 2;Stage 3;Stage 3;Stage 1;Stage 2
Balance at 1.1.;177,025;93;2,667;113;630;404;180,322;611
Additions (new assets issued/acquired);75,611;39;0;0;0;0;75,611;39
Remeasured due to change in measurement parameters;n/a;-5;n/a;27;n/a;1;n/a;23
Transfers to Stage 1;214;5;-207;-5;-6;0;0;0
Transfers to Stage 2;-651;-2;651;2;0;0;0;0
Transfers to Stage 3;-293;-1;-501;-55;794;56;0;0
Disposals (sale, redemption, material modification, write-offs);-73,229;-21;-839;27;-134;-114;-74,202;-108
Currency translation differences;-1,463;-1;-11;-2;-18;-24;-1,491;-26
Change in the consolidated group;86;0;0;0;0;0;86;0
Modifications of contractual cash flows that do not lead to derecognition;0;0;0;0;0;0;0;0
Other changes;346;0;-1;0;4;6;348;6
Balance at 31.12.;177,645;108;1,759;108;1,270;329;180,674;545"
