";Investment funds;;;;Securitisation vehicles;Total
€m;Munich Re investments;Investments for unit-linked life insurance;—_ Insurance-related financial instruments;Asset-backed securities;Under-writing risks
Reinsurance contracts held that are assets;0;0;0;0;128;128
Insurance contracts issued that are assets;0;0;0;0;0;0
Investments — Financial investments;7,343;0;0;5,357;0;12,700
Investments for unit-linked life insurance;0;8,943;0;0;0;8,943
Insurance-related financial instruments;0;0;351;0;161;512
Non-current assets held for sale;14;0;0;0;0;14
Total assets;7,357;8,943;351;5,357;289;22,297
Reinsurance contracts held that are liabilities;0;0;0;0;0;0
Insurance contracts issued that are liabilities;0;0;0;0;-872;-872
Liabilities - Derivatives;0;0;0;0;0;0
Total equity and liabilities;0;0;0;0;-872;-872
Size of structured entities;7,357;8,943;351;121,593;7,863;146,107"
