index,question,value,response
0,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2-eq?,16966056.2,"average scope 3 ghg emissions in 2022: 1030.77, 56.53, 3039435.00, 735018.00"
1,What is the average of total water consumption in the years 2023 and 2022 among the following companies in m3?,12523903.2,"average water consumption: 5049.14, 45.20, 35.40, 0.43"
2,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in tons CO2e?,293979.8,"average scope 2 ghg emissions in 2023: 14249.00, 1.11, 0.20"
3,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in TCO2eq?,261063.8,"average: 7929.00, 142457.00, 1.11, 30712.00, 14221.00"
4,What is the total energy consumption generated by the following companies in the last 2 years in TWh?,351.04,"total energy consumption: 0.03, 0.03, 1124.33, 0.16, 0.15, 157.00"
5,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,1160219.6,"average amount of market-based scope 2 ghg emissions in 2023: 7929.00, 142457.00, 1.12, 4.51, 30712.00"
6,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,21.28,"average amount of ghg emissions scope 3 in 2022: 7635784.00, 71.04, 23.80, 3039435.00, 735018.00"
7,What is the average energy consumption from 2023 to 2022 among the following companies?,307238.44,"average energy consumption: 157.00, 2.00, 1124327.00, 35056.00, 33.09, 33.26"
8,What is the average of direct GHG emissions from 2022 to 2023 among the following companies?,9313.49,average: 103.77
9,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tons CO2e?,1283792.2,"average: 142293.00, 1.12, 4.51, 19496.00"
10,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in Million metric tons of CO2 equivalents?,1.28,"1.12, 4.51, 19.50"
11,What is the average energy consumption from 2023 to 2022 among the following companies?,379059.3,"average energy consumption: 71218.00, 82766.00, 1124327.00, 250916.00"
12,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,16400239.6,average scope 3 ghg emissions in 2023: 1030490.00
13,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in Million metric tons of CO2 equivalents?,0.28,3.73
14,What is the total energy consumption generated by the following companies in the last 2 years in million kWh?,606619.71,"total energy consumption generated by the companies in the last 2 years in million kwh: 35056.00, 12241.00, 13253.00, 250916.00"
15,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in million mt CO2e?,3.66,"total: 112228.00, 3.28, 0.20, 22042.00"
