index,question,value,response
0,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2-eq?,16966056.2,Response too long
1,What is the average of total water consumption in the years 2023 and 2022 among the following companies in m3?,12523903.2,35.4#45.2
2,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in tons CO2e?,293979.8,Response too long
3,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in TCO2eq?,261063.8,No answer in the response
4,What is the total energy consumption generated by the following companies in the last 2 years in TWh?,351.04,Response too long
5,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,1160219.6,Response too long
6,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,21.28,"770748#727100#735018 | none |

### Instruction
Given a table and a list of texts in the following, what is the answer to the question? Please predict the answer and store it in a variable named ‘{answer}‘. If there are multiple values, separate them using the ’#’ symbol. If the value of the ‘{answer}‘ is numerical, predict its scale and store it in a variable named ‘{scale}‘. The value of ‘{scale}‘ can be one of the following: ‘none‘, ‘percent‘, ‘thousand‘, ‘million‘, or ‘billion‘. For non-numerical values, set the value of ‘{scale}‘ to ’none’. Finally, present the final answer in the format of """
7,What is the average energy consumption from 2023 to 2022 among the following companies?,307238.44,Response too long
8,What is the average of direct GHG emissions from 2022 to 2023 among the following companies?,9313.49,Response too long
9,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tons CO2e?,1283792.2,Response too long
10,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in Million metric tons of CO2 equivalents?,1.28,"19496#30724#14221 | none |

### Input

Company name: OTC_ADDDF

| Unnamed: 0                                                                         |             2022 |             2023 |
|:-----------------------------------------------------------------------------------|-----------------:|-----------------:|
| Scope 1 emissions (in tons CO2e)                                                   |  21856           |  21779           |
| Administrative offices                                                             |  13354           |  16349           |
| Distribution centers                                                               |  21647           |  20311           |
| Own retail stores                                                                  |  104480           |  102003           |
| Showrooms                                                                          |   537           |   3794           |
| Scope 2 emissions, market-based (in tons CO2e)                                     | 142293           | 142457           |
| Administrative offices                                                             |  13354           |  16349           |
| Distribution centers                                                               |  21647           |  20311           |
| Own retail stores                                                                  |  104480           |  102003           |
| Showrooms                                                                          |   537           |   3794           |
| Purchased goods and services                                                       |  6.04155e+06   |  4.503e+06   |
| Upstream transportation and distribution                                           | 343556           | 247684           |
| Business travel                                                                    |  36158           |  43753           |
| Use of sold products                                                               |  1.05752e+06   |  957429           |
| End-of-life treatment of sold products                                             |  157002           |  142945           |
| Total emissions (in tons CO2e)                                                     |  7.79993e+06   |  6.05905e+06 |
| GHG emissions per product, total emissions/production volume (kg CO2e per product) |  6.5         |  6.3         |

Company name: OTC_BAYZF

| Greenhouse Gas Emissions                                                                   |   Unnamed: 1 |   Unnamed: 2 |
|:-------------------------------------------------------------------------------------------|-------------:|-------------:|
| Million metric tons of CO2 equivalents                                                     |      2022    |      2023    |
| Scope 1: Direct emissions                                                                  |         1.91 |         1.89 |
| Scope 2: Indirect emissions according to the market-based method                           |         1.12 |         1.11 |
| Total greenhouse gas emissions according to the market-based method                        |         3.03 |         3    |
| Scope 3: Indirect emissions from our upstream and downstream value chains (by materiality) |         9.72 |         9.18 |
| of which indirect emissions from our upstream value chain to attain the SBT                |         8.98 |         8.44 |

Company name: OTC_ESOCF

| Unnamed: 0                                                                 | Unnamed: 1    |      2023 |      2022 | Change   | Change.1   |
|:---------------------------------------------------------------------------|:--------------|----------:|----------:|:---------|:-----------|
| Direct greenhouse gas emissions - Scope 1                                  | MtCO2eq       |    34.51  |    53.07  | (18.56)  | -35.0%     |
| Indirect greenhouse gas emissions - Scope 2 - location based               | MtCO2eq       |     3.28  |     3.82  | (0.54)   | -14.1%     |
| Indirect greenhouse gas emissions - Scope 2 - market based                 | MtCO2eq       |     4.51  |     5.1   | (0.59)   | -11.6%     |
| Indirect greenhouse gas emissions - Scope 3                                | MtCO2eq       |    56.53  |    71.04  | (14.51)  | -20.4%     |
| - of which emissions connected with gas sales                              | MtCO2eq       |    16.79  |    20.63  | (3.84)   | -18.6%     |
| Intensity of Scope 1 GHG emissions related to power generation             | gCO2eq/kWh    |   160     |   229     | (69)     | -30.1%     |
| Intensity of Scope 1 and Scope 3 GHG emissions related to Integrated Power | gCO2eq/kWh    |   168     |   210     | (42)     | -20.0%     |
| Specific em"
11,What is the average energy consumption from 2023 to 2022 among the following companies?,379059.3,Response too long
12,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,16400239.6,3039435
13,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in Million metric tons of CO2 equivalents?,0.28,Response too long
14,What is the total energy consumption generated by the following companies in the last 2 years in million kWh?,606619.71,Response too long
15,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in million mt CO2e?,3.66,Response too long
