index,pdf name,page nbr,table nbr,gri,gri_finegrained,question_type_ext,question,value,original_dataset
4,"['NYSE_AZ_2023', 'OTC_ADDDF_2023', 'OTC_ESOCF_2023']","['60', '84', '137']","['0', '0', '0']",305,,mean,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,26.26,multitable3_quant
62,"['OTC_ADDDF_2023', 'OTC_ESOCF_2023', 'axa_2023']","['84', '137', '179']","['0', '0', '0']",305,,mean,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tCO2eq?,1759821.67,multitable3_quant
18,"['NASDAQ_DASTY_2023', 'OTC_ADDDF_2023', 'OTC_BAYZF_2023']","['141', '84', '63']","['0', '0', '0']",305,,sum,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in tons CO2e?,1265617.0,multitable3_quant
0,"['NYSE_AZ_2023', 'OTC_RWNEF_2023', 'axa_2023']","['60', '79', '179']","['0', '0', '0']",305,,sum,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,354651.0,multitable3_quant
28,"['NASDAQ_DASTY_2023', 'OTC_ADDDF_2023', 'munich-re_2023']","['141', '84', '46']","['0', '0', '0']",305,,mean,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in tons CO2e?,53299.67,multitable3_quant
50,"['NYSE_TTE_2023', 'OTC_SU_2023', 'vivendi_2023']","['387', '309', '140']","['3', '0', '0']",306,,sum,What is the total amount of non-hazardous waste produced in the years 2023 and 2022 among the following companies in kt?,898.52,multitable3_quant
10,"['OTC_SU_2023', 'deutsche-telekom-ag_2023', 'munich-re_2023']","['310', '46', '47']","['1', '0', '1']",302,,mean,What is the average energy consumption from 2023 to 2022 among the following companies?,485951.83,multitable3_quant
34,"['OTC_BAYZF_2023', 'OTC_ESOCF_2023', 'munich-re_2023']","['63', '137', '46']","['0', '0', '0']",305,,mean,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in Million metric tons of CO2 equivalents?,22.92,multitable3_quant
12,"['NASDAQ_DASTY_2023', 'OTC_RWNEF_2023', 'munich-re_2023']","['141', '79', '46']","['0', '0', '0']",305,,mean,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in million mt CO2e?,0.07,multitable3_quant
54,"['NASDAQ_DASTY_2023', 'OTC_BAYZF_2023', 'munich-re_2023']","['141', '63', '46']","['0', '0', '0']",305,,mean,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in Million metric tons of CO2 equivalents?,0.38,multitable3_quant
47,"['OTC_BAYZF_2023', 'OTC_RWNEF_2023', 'munich-re_2023']","['63', '79', '46']","['0', '0', '0']",305,,sum,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in million mt CO2e?,1.32,multitable3_quant
31,"['NASDAQ_DASTY_2023', 'OTC_BAYZF_2023', 'OTC_RWNEF_2023']","['141', '63', '79']","['0', '0', '0']",305,,sum,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in tCO2-eq?,1313193.0,multitable3_quant
9,"['NASDAQ_DASTY_2023', 'OTC_SU_2023', 'munich-re_2023']","['117', '310', '47']","['0', '1', '1']",302,,sum,What is the total energy consumption generated by the following companies in the last 2 years in MWh?,3044201.0,multitable3_quant
45,"['OTC_BAYZF_2023', 'OTC_ESOCF_2023', 'vivendi_2023']","['63', '137', '105']","['0', '0', '0']",305,,mean,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in MtCO2eq?,1.88,multitable3_quant
5,"['NASDAQ_DASTY_2023', 'OTC_ADDDF_2023', 'OTC_RWNEF_2023']","['141', '84', '79']","['0', '0', '0']",305,,sum,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in tons CO2e?,345650.0,multitable3_quant
22,"['NYSE_AZ_2023', 'OTC_RWNEF_2023', 'axa_2023']","['60', '79', '179']","['0', '0', '0']",305,,sum,What is the sum of location-based scope 2 GHG emissions in 2022 among the following companies in million mt CO2e?,0.28,multitable3_quant
56,"['NYSE_TTE_2023', 'OTC_SU_2023', 'vivendi_2023']","['387', '309', '140']","['3', '0', '0']",306,,sum,What is the total amount of non-hazardous waste produced in the years 2023 and 2022 among the following companies in tons?,898521.0,multitable3_quant
