index,pdf name,page nbr,table nbr,gri,gri_finegrained,question_type_ext,question,value,original_dataset
100,['OTC_SAPMY_2023.pdf'],[144],[0],302,,ratio_average,What is the average between direct and indirect group energy consumption of the percentage ratios between 2023 and 2021?,77.81,step
136,['OTC_SU_2023.pdf'],[311],[1],305,,sum_average,What is the average between scope 1+2 market based emissions and scope 2 emissions of the sums between the years 2022 and 2023?,315289.5,step
78,['OTC_SU_2023.pdf'],[310],[0],303,,ratio_average,What is the average between water withdrawn except for cooling and water withdrawn for cooling of the percentage ratios between 2021 and 2023?,108.62,step
56,['NYSE_TTE_2023.pdf'],[306],[3],305,,average_sup,"What is the value between operated and not operated intensity of GHG emissions of the lowest average between the years 2023, 2021?",17,step
97,['OTC_SAPMY_2023.pdf'],[144],[0],302,,sum_sup,"What is the value between direct and indirect energy consumption of the lowest sum in the years 2021 (group), 2023 (full consolidated), 2021 (full consolidated), 2023 (group), 2022 (full consolidated)?",2166,step
29,['OTC_SU_2023.pdf'],[311],[1],305,,average_sum,"What is the sum between grid and renewable electricity emissions of the averages between the years 2021, 2022, 2023, 2020?",57021.25,step
104,['OTC_SAPMY_2023.pdf'],[147],[0],305,,sum_ranking,"What are the top 2 lowest values between location based and target based emissions of the sums (in descending order) between the years 2022, 2023 for fully consolidated and 2023 for group emissions?","16429.5, 16427.2",step
82,['OTC_SU_2023.pdf'],[311],[1],305,,ratio_ranking,Which are the top 2 highest values between vehicle and SF6 emissions of the percentage ratios (in descending order) between the year 2021 and 2023?,"145.19, 101.94",step
162,['OTC_SAPMY_2023.pdf'],[147],[0],305,,sum_average,What is the average between location based and market based emissions of the sums in full consolidated and group scenarios between 2023?,12786.85,step
108,['NYSE_TTE_2023.pdf'],[306],[3],305,,ratio_ranking,What are the top 2 highest values between operated and not operated intensity emissions of the percentage ratios (in descending order) between the year 2022 and 2023?,"105.56, 100.0",step
19,['OTC_SU_2023.pdf'],[310],[1],302,,ratio_ranking,Which are the top 2 lowest values between the energy consumption from renewable and non renewable sources of the percentage ratios (in descending order) between the year 2023 and 2022?,"102.7, 81.38",step
42,['OTC_SAPMY_2023.pdf'],[144],[0],302,,ratio_average,What is the average between direct and indirect consumption of energy of the percentage ratios between 2022 (full consolidated) and 2023 (group?,106.35,step
15,['OTC_SU_2023.pdf'],[311],[1],305,,sum_average,What is the average between scope 2 and scope 3 emissions of the sums between the years 2020 and 2023?,61391666,step
67,['OTC_SU_2023.pdf'],[310],[0],303,,ratio_average,What is the average between the total water withdrawn except for cooling and water withdrawn for cooling of the percentage ratios between 2022 and 2020?,89.75,step
24,['OTC_SU_2023.pdf'],[310],[0],303,,average_sum,"What is the sum between total water withdrawn and water withdrawn for cooling of the averages between the years 2021, 2020?",2830049,step
31,['OTC_SU_2023.pdf'],[309],[0],306,,sum_average,What is the average between non hazardous waste and non hazardous recycled waste of the sums between the years 2023 and 2022?,228518.5,step
131,['OTC_SU_2023.pdf'],[310],[1],302,,sum_average,What is the average between self generated and purchased renewable electricity of the sums between the years 2020 and 2022?,603764.5,step
51,['OTC_SAPMY_2023.pdf'],[145],[0],302,,ratio_average,"What is the average between electricity consumed from the grid and electricity consumed from the grid, but produced by renewable sources of the percentage ratios between 2021 (full consolidated) and 2021 (group total)?",68.28,step
101,['OTC_SAPMY_2023.pdf'],[144],[0],302,,average_ranking,"Which are the top 2 highest values between direct and indirect energy consumption of the averages (in descending order) between the years 2021, 2022, 2023 for the group consumption and 2022, 2023 for fully consolidated?","15060.6, 499.2",step
16,['OTC_SU_2023.pdf'],[311],[1],305,,sum_sup,"What is the value between scope 1 and scope 3 emissions of the highest sum in the years 2020, 2021, 2022?",195296755,step
76,['OTC_SU_2023.pdf'],[310],[0],303,,average_sup,"What is the value between surface and groundwater withdrawal of the highest average between the years 2020, 2023?",462400.5,step
18,['OTC_SU_2023.pdf'],[311],[1],305,,ratio_ranking,"Which are the top 2 highest values between scope 1, 2 and 3 emissions of the percentage ratios (in ascending order) between the year 2022 and 2020?","83.89, 92.42",step
12,['OTC_SU_2023.pdf'],[310],[0],303,,ratio_sup,What is the value between the total water withdrawn and the water withdrawn for cooling of the lowest percentage ratio between 2020 and 2023?,95.92,step
9,['OTC_SU_2023.pdf'],[311],[0],302,,sum_ranking,"What are the top 6 highest values between different sources of energy consumption of the sums (in descending order) between the years 2022, 2023?","199398.0, 150463.0, 54253.0, 5319.0, 1868.0, 0.0",step
132,['OTC_SU_2023.pdf'],[310],[0],303,,average_ranking,"Which are the top 2 highest values between surface and groundwater withdrawal of the averages (in descending order) between the years 2021, 2022, 2020, 2023?","482685.0, 17207.5",step
75,['OTC_SU_2023.pdf'],[310],[1],302,,average_ranking,"Which are the top 2 lowest values between purchased and self generated renewable electricity of the averages (in descending order) between the years 2022, 2020, 2023, 2021?","599428.0, 18059.5",step
135,['OTC_SU_2023.pdf'],[310],[0],303,,sum_ranking,"Which are the top 2 highest values between the water withdrawn not for cooling and the water withdrawn for cooling of the sums (in descending order) between the years 2023, 2021, 2022?","5893022.0, 2315964.0",step
60,['NYSE_TTE_2023.pdf'],[383],[1],305,,ratio_average,What is the average between upstream and downstream transportation of the percentage ratios between 2023 and 2022?,94.44,step
55,['OTC_SAPMY_2023.pdf'],[147],[0],305,,ratio_average,What is the average between location based and market based group total emissions of the percentage ratios between 2021 and 2023?,41.31,step
146,['OTC_SU_2023.pdf'],[309],[0],306,,average_sum,"What is the sum between reused and incinerated non hazardous waste of the averages between the years 2021, 2022?",120400,step
30,['OTC_SU_2023.pdf'],[311],[1],305,,ratio_ranking,Which are the top 2 lowest values between scope 2 and 3 emissions of the percentage ratios (in descending order) between the year 2020 and 2023?,"162.35, 115.84",step
140,['OTC_SU_2023.pdf'],[311],[1],305,,average_sup,"What is the value between the grid electricity and renewable electricity scope 2 emissions of the highest average between the years 2022, 2023?",44575,step
119,['OTC_SU_2023.pdf'],[310],[1],302,,ratio_sup,"What is the value between grid electricity, purchased and self generated renewable electricity of the lowest percentage ratio between 2021 and 2020?",89.13,step
85,['OTC_SU_2023.pdf'],[309],[0],306,,average_sum,"What is the sum between non hazardous waste and non hazardous reused waste of the averages between the years 2021, 2023?",232988,step
157,['OTC_SAPMY_2023.pdf'],[144],[0],302,,sum_average,What is the average between direct and indirect group energy consumption of the sums between the years 2022 and 2021?,16112,step
2,['NYSE_TTE_2023.pdf'],[383],[1],305,,sum_ranking,"What are the top 2 highest values between purchased goods and downstream transportation of the sums (in ascending order) between the years 2022, 2023?","2.0, 57.0",step
118,['NYSE_TTE_2023.pdf'],[387],[0],305,,ratio_ranking,What are the top 2 lowest values between nmvoc and nox emissions of the percentage ratios (in descending order) between the year 2023 and 2020?,"93.75, 62.32",step
112,['NYSE_TTE_2023.pdf'],[383],[1],305,,average_sup,"What is the value between downstream and upstream transportation of the lowest average between the years 2023, 2022?",1,step
68,['OTC_SU_2023.pdf'],[310],[0],303,,average_sum,"What is the sum between the total water withdrawn except for cooling and water withdrawn for cooling of the averages between the years 2020, 2022, 2023, 2021?",2729304.75,step
133,['OTC_SU_2023.pdf'],[310],[0],303,,sum_ranking,"What are the top 2 lowest values between total and surface water withdrawn of the sums (in ascending order) between the years 2023, 2021?","36855.0, 3971453.0",step
45,['OTC_SAPMY_2023.pdf'],[144],[0],302,,average_sum,"What is the sum between direct and indirect consumption of energy of the averages between the years 2023 (full consolidated), 2022 (group)?",15902,step
26,['OTC_SU_2023.pdf'],[311],[1],305,,sum_ranking,"Which are the top 2 highest values between scope 1 emissions and gas emissions of the sums (in descending order) between the years 2023, 2021, 2022, 2020?","515345.0, 195212.0",step
142,['OTC_SU_2023.pdf'],[309],[0],306,,sum_ranking,"Which are the top 2 lowest values between non hazardous waste and non hazardous waste recycled of the sums (in descending order) between the years 2020, 2022, 2023?","357484.0, 330371.0",step
84,['OTC_SU_2023.pdf'],[311],[1],305,,average_ranking,"What are the top 2 highest values between scope 2 and 3 emissions of the averages (in descending order) between the years 2022, 2023, 2021, 2020?","63018679.75, 124373.0",step
95,['OTC_SAPMY_2023.pdf'],[144],[0],302,,ratio_ranking,What are the top 2 highest values between indirect and direct group consumption of energy of the percentage ratios (in descending order) between the year 2023 and 2021?,"101.15, 54.48",step
93,['OTC_SAPMY_2023.pdf'],[144],[0],302,,ratio_ranking,Which are the top 2 highest values between direct and indirect energy consumption of the percentage ratios (in descending order) between the year 2021 (group) and 2022 (full consolidated?,"182.11, 88.34",step
36,['OTC_SU_2023.pdf'],[309],[0],306,,average_sup,"What is the value between reused and incinerated non hazardous waste of the lowest average between the years 2023, 2021?",6917.5,step
109,['NYSE_TTE_2023.pdf'],[387],[0],303,,sum_sup,"What is the value between fresh water withdrawal from cooling water and total fresh water consumption of the lowest sum in the years 2022, 2019, 2020?",226,step
22,['OTC_SU_2023.pdf'],[310],[0],303,,ratio_ranking,Which are the top 2 lowest values between surface and groundwater withdrawal of the percentage ratios (in descending order) between the year 2021 and 2022?,"131.98, 104.33",step
