index,pdf name,page nbr,table nbr,gri,gri_finegrained,question_type_ext,question,value,original_dataset
161,"['NASDAQ_DASTY_2023', 'OTC_DPSGY_2023', 'prosiebensat1-media_2023']","['117', '3', '64']","['0', '0', '0']",302,,multistep_sup,Which company has the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,OTC_DPSGY,multitable3_multistep
15,"['OTC_BAMGF_2023', 'OTC_BAYZF_2023', 'munich-re_2023']","['310', '132', '47']","['0', '0', '0']",303,,multistep_sup,Which company has the highest water consumption calculated as the average of the 2023 and 2022 consumption for the following companies in m3?,OTC_BAYZF,multitable3_multistep
73,"['NYSE_TTE_2023', 'heidelberg-materials_2023', 'vivendi_2023']","['387', '358', '140']","['3', '0', '0']",306,,multistep_sup,What is the highest average amount of waste generated in the years 2023 and 2022 among the following companies in tons?,714800.0,multitable3_multistep
96,"['NYSE_TTE_2023', 'OTC_SU_2023', 'heidelberg-materials_2023']","['381', '310', '374']","['0', '1', '0']",302,,multistep_sup,Which company has the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,OTC_SU,multitable3_multistep
166,"['OTC_SU_2023', 'heidelberg-materials_2023', 'vivendi_2023']","['309', '358', '140']","['0', '0', '0']",306,,multistep_rank,What are the 2 lowest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in ascending order) among the following companies in tons?,"3751.0, 15664.0",multitable3_multistep
9,"['NYSE_TTE_2023', 'OTC_SU_2023', 'vivendi_2023']","['387', '309', '140']","['3', '0', '0']",306,,multistep_sup,What is the highest average amount of waste generated in the years 2023 and 2022 among the following companies in tons?,509500.0,multitable3_multistep
100,"['OTC_SU_2023', 'munich-re_2023', 'prosiebensat1-media_2023']","['310', '47', '64']","['1', '1', '0']",302,,multistep_rank,Which companies have the top 3 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in GWh?,"prosiebensat1-media, munich-re, OTC_SU",multitable3_multistep
135,"['OTC_SU_2023', 'deutsche-telekom-ag_2023', 'munich-re_2023']","['310', '46', '47']","['1', '0', '1']",302,,multistep_rank,Which companies have the top 3 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"munich-re, OTC_SU, deutsche-telekom-ag",multitable3_multistep
18,"['NYSE_AZ_2023', 'OTC_BAYZF_2023', 'OTC_RWNEF_2023']","['60', '63', '79']","['0', '0', '0']",305,,multistep_rank,Which companies have the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in tCO2e?,"NYSE_AZ, OTC_BAYZF",multitable3_multistep
148,"['OTC_BAMGF_2023', 'OTC_ESOCF_2023', 'munich-re_2023']","['310', '139', '47']","['0', '0', '0']",303,,multistep_sup,Which company has the smallest percentage variation in water consumption from 2022 to 2023 among the following companies?,OTC_BAMGF,multitable3_multistep
171,"['OTC_DPSGY_2023', 'heidelberg-materials_2023', 'prosiebensat1-media_2023']","['3', '374', '64']","['0', '0', '0']",302,,multistep_sup,What is the maximum average percentage consumption of energy from renewable sources in the years 2023 and 2022 among the following companies?,66.59,multitable3_multistep
30,"['OTC_CRERF_2023', 'heidelberg-materials_2023', 'vivendi_2023']","['79', '358', '140']","['0', '0', '0']",306,,multistep_sup,Which company has the lowest percentage variation of waste generated from 2022 to 2023 among the following companies?,vivendi,multitable3_multistep
155,"['NYSE_AZ_2023', 'OTC_BAYZF_2023', 'OTC_RWNEF_2023']","['60', '63', '79']","['0', '0', '0']",305,,multistep_rank,What are the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in tCO2e?,"31363.5, 1900000.0",multitable3_multistep
180,"['NASDAQ_DASTY_2023', 'NYSE_TTE_2023', 'deutsche-telekom-ag_2023']","['117', '381', '46']","['0', '0', '0']",302,,multistep_sum,What is the total energy consumption generated by the following companies in the last 2 years in TWh?,348.65,multitable3_multistep
125,"['NYSE_TTE_2023', 'OTC_SU_2023', 'vivendi_2023']","['387', '309', '140']","['3', '0', '0']",306,,multistep_sup,Which company has the highest percentage of hazardous waste generated in 2022 among the following companies?,NYSE_TTE,multitable3_multistep
197,"['axa_2023', 'munich-re_2023', 'vivendi_2023']","['179', '46', '105']","['0', '0', '0']",305,,multistep_rank,Which companies have the 3 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in TCO2eq?,"munich-re, axa, vivendi",multitable3_multistep
164,"['OTC_DPSGY_2023', 'deutsche-telekom-ag_2023', 'heidelberg-materials_2023']","['3', '46', '374']","['0', '0', '0']",302,,multistep_sup,Which company has the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,deutsche-telekom-ag,multitable3_multistep
