index,pdf name,page nbr,table nbr,gri,gri_finegrained,question_type_ext,question,value,original_dataset
155,"['OTC_SU_2023', 'deutsche-telekom-ag_2023', 'heidelberg-materials_2023', 'munich-re_2023', 'prosiebensat1-media_2023']","['310', '46', '374', '47', '64']","['1', '0', '0', '1', '0']",302,,sup,Which company has the highest energy consumed in the last 2 years among the following companies in TJ?,heidelberg-materials,multitable5_rel
144,"['NYSE_AZ_2023', 'OTC_ESOCF_2023', 'OTC_RWNEF_2023', 'axa_2023', 'vivendi_2023']","['60', '137', '79', '179', '105']","['0', '0', '0', '0', '0']",305,,rank,Which companies have the 2 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in million mt CO2e?,"OTC_ESOCF, OTC_RWNEF",multitable5_rel
101,"['NYSE_AZ_2023', 'OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'axa_2023', 'vivendi_2023']","['60', '84', '63', '179', '105']","['0', '0', '0', '0', '0']",305,,rank,Which companies have the 2 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,"OTC_BAYZF, OTC_ADDDF",multitable5_rel
127,"['NASDAQ_DASTY_2023', 'NYSE_AZ_2023', 'OTC_BAYZF_2023', 'axa_2023', 'munich-re_2023']","['141', '60', '63', '179', '46']","['0', '0', '0', '0', '0']",305,,sup,What is the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tCO2eq?,1910000.0,multitable5_rel
140,"['NASDAQ_DASTY_2023', 'NYSE_AZ_2023', 'OTC_ESOCF_2023', 'OTC_RWNEF_2023', 'munich-re_2023']","['141', '60', '137', '79', '46']","['0', '0', '0', '0', '0']",305,,rank,Which companies have the 3 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tCO2e?,"NYSE_AZ, NASDAQ_DASTY, munich-re",multitable5_rel
138,"['NYSE_TTE_2023', 'OTC_DPSGY_2023', 'deutsche-telekom-ag_2023', 'heidelberg-materials_2023', 'munich-re_2023']","['381', '3', '46', '374', '47']","['0', '0', '0', '0', '1']",302,,rank,Which companies have the top 4 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in GWh?,"NYSE_TTE, heidelberg-materials, OTC_DPSGY, deutsche-telekom-ag",multitable5_rel
42,"['NASDAQ_DASTY_2023', 'NYSE_TTE_2023', 'OTC_DPSGY_2023', 'OTC_SU_2023', 'prosiebensat1-media_2023']","['117', '381', '3', '310', '64']","['0', '0', '0', '1', '0']",302,,sup,Which company has the largest energy consumption from 2022 to 2023 among the following companies?,OTC_SU,multitable5_rel
15,"['NASDAQ_DASTY_2023', 'OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'OTC_RWNEF_2023', 'munich-re_2023']","['141', '84', '63', '79', '46']","['0', '0', '0', '0', '0']",305,,rank,Which companies have the 3 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,"OTC_BAYZF, OTC_RWNEF, OTC_ADDDF",multitable5_rel
126,"['NASDAQ_DASTY_2023', 'OTC_DPSGY_2023', 'deutsche-telekom-ag_2023', 'heidelberg-materials_2023', 'munich-re_2023']","['117', '3', '46', '374', '47']","['0', '0', '0', '0', '1']",302,,sup,Which company has the lowest energy consumption over the last 2 years among the following companies in MWh?,NASDAQ_DASTY,multitable5_rel
65,"['NASDAQ_DASTY_2023', 'OTC_DPSGY_2023', 'OTC_SU_2023', 'deutsche-telekom-ag_2023', 'prosiebensat1-media_2023']","['117', '3', '310', '46', '64']","['0', '0', '1', '0', '0']",302,,sup,What is the highest energy consumed in the last 2 years among the following companies in GWh?,35056.0,multitable5_rel
112,"['NASDAQ_DASTY_2023', 'OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'OTC_RWNEF_2023', 'munich-re_2023']","['141', '84', '63', '79', '46']","['0', '0', '0', '0', '0']",305,,rank,What are the 2 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in Million metric tons of CO2 equivalents?,"0.0, 0.01",multitable5_rel
60,"['NASDAQ_DASTY_2023', 'OTC_ESOCF_2023', 'OTC_RWNEF_2023', 'axa_2023', 'munich-re_2023']","['141', '137', '79', '179', '46']","['0', '0', '0', '0', '0']",305,,rank,What are the 5 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2e?,"4178.0, 21598.0, 33093.0, 34510000.0, 61900000.0",multitable5_rel
45,"['NASDAQ_DASTY_2023', 'NYSE_TTE_2023', 'OTC_DPSGY_2023', 'deutsche-telekom-ag_2023', 'munich-re_2023']","['117', '381', '3', '46', '47']","['0', '0', '0', '0', '1']",302,,sup,What is the highest energy consumed in the last 2 years among the following companies in million kWh?,166000.0,multitable5_rel
51,"['NASDAQ_DASTY_2023', 'OTC_DPSGY_2023', 'deutsche-telekom-ag_2023', 'heidelberg-materials_2023', 'munich-re_2023']","['117', '3', '46', '374', '47']","['0', '0', '0', '0', '1']",302,,sup,What is the lowest energy consumption over the last 2 years among the following companies in MWh?,71218.0,multitable5_rel
31,"['NASDAQ_DASTY_2023', 'NYSE_AZ_2023', 'OTC_RWNEF_2023', 'munich-re_2023', 'vivendi_2023']","['141', '60', '79', '46', '105']","['0', '0', '0', '0', '0']",305,,rank,Which companies have the 3 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2-eq?,"NASDAQ_DASTY, vivendi, NYSE_AZ",multitable5_rel
9,"['OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'OTC_RWNEF_2023', 'munich-re_2023', 'vivendi_2023']","['84', '63', '79', '46', '105']","['0', '0', '0', '0', '0']",305,,rank,What are the 4 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tons CO2e?,"770748.0, 3130824.0, 7635784.0, 9720000.0",multitable5_rel
