index,pdf name,page nbr,table nbr,gri,gri_finegrained,question_type_ext,question,value,original_dataset
33,['OTC_SU_2023.pdf'],[310],[0],303,,rank,"What are the amounts of non-cooling water withdrawal between surface water, groundwater, third party or other sources in 2021 ranked in ascending order?","19156, 31870, 513631, 1507606",rel
6,['OTC_SU_2023.pdf'],[311],[0],302,,comparative,Is the estimated energy consumption from purchased renewable electricity lower than grid electricity in MWh for the year 2023?,yes,rel
182,['NASDAQ_DASTY_2023.pdf'],[117],[0],305,,superlative,What is the lowest carbon intensity in millions of euros of revenue IFRS reported in the years 2023 and 2022?,31.2,rel
86,['NYSE_TTE_2023.pdf'],[306],[3],305,,comparative,Is the intensity of GHG emissions (Scope 1+2) of operated Upstream oil/gas activities greater than the intensity of emissions on equity basis Upstream oil/gas activities for the year 2023?,no,rel
156,['NYSE_TTE_2023.pdf'],[383],[1],305,,comparative,Is the value of indirect GHG emissions in Mt CO2e for end of life treatment emissions greater than the value of the processing of sold products emissions in the year 2023?,yes,rel
246,['OTC_ADDDF_2023.pdf'],[110],[0],305,,comparative,Is the percentage of sustainable cotton greater than the one for recycled polyester in 2022?,yes,rel
195,['heidelberg-materials_2023.pdf'],[355],[0],305,,superlative,What is the lowest value of CO2 emissions between different business lines in 2023?,0.2,rel
104,['NYSE_TTE_2023.pdf'],[381],[0],302,,rank,What are the four lowest values of the Global Energy Efficiency Indicator (GEEI) from the years 2019 to 2023 in ascending order?,"85.1, 86.4, 87.0, 88.0",rel
9,['OTC_SU_2023.pdf'],[311],[0],302,,superlative,"What is the highest estimated energy consumption from gas in MWh for the years 2021, 2022, and 2023?",49674,rel
235,['OTC_SAPMY_2023.pdf'],[147],[0],305,,comparative,Is the group total emissions location based (in kt CO2eq) for the year 2021 lower than the one for the year 2023?,yes,rel
232,['OTC_SAPMY_2023.pdf'],[147],[0],305,,rank,"What are the two highest emission intensity values (in kt CO2 eq/€mln) for Market-based Scope 1, 2 and 3 from the years 2022 and 2023 in descending order?","156.5, 125.4",rel
236,['OTC_SAPMY_2023.pdf'],[147],[0],305,,superlative,"What is the maximum value of market-based group total emissions (in kt CO2eq) between the year 2023, 2022 and 2021?",6446.5,rel
