index,pdf name,page nbr,table nbr,gri,gri_finegrained,question_type_ext,question,value,original_dataset
30,"['OTC_ADDDF_2023', 'OTC_RWNEF_2023', 'munich-re_2023']","['84', '79', '46']","['0', '0', '0']",305,,rank,Which companies have the 2 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in tons CO2e?,"OTC_RWNEF, munich-re",multitable3_rel
172,"['NYSE_AZ_2023', 'axa_2023', 'vivendi_2023']","['60', '179', '105']","['0', '0', '0']",305,,rank,What are the 2 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2eq?,"22042.0, 42423.0",multitable3_rel
84,"['OTC_BAMGF_2023', 'OTC_BAYZF_2023', 'OTC_CRERF_2023']","['310', '132', '72']","['0', '0', '0']",303,,rank,What are the top 2 lowest water consumption values (in ascending order) for the year 2023 among the following companies in millions of cu.m?,"5.05, 6.78",multitable3_rel
199,"['NYSE_AZ_2023', 'OTC_ADDDF_2023', 'axa_2023']","['60', '84', '179']","['0', '0', '0']",305,,rank,What are the 2 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tons CO2e?,"30490.0, 37172.0",multitable3_rel
60,"['NYSE_AZ_2023', 'axa_2023', 'vivendi_2023']","['60', '179', '105']","['0', '0', '0']",305,,rank,Which companies have the 2 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2eq?,"vivendi, axa",multitable3_rel
155,"['NYSE_AZ_2023', 'munich-re_2023', 'vivendi_2023']","['60', '46', '105']","['0', '0', '0']",305,,rank,What are the 2 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tCO2e?,"92467.0, 770748.0",multitable3_rel
45,"['NASDAQ_DASTY_2023', 'munich-re_2023', 'prosiebensat1-media_2023']","['117', '47', '64']","['0', '1', '0']",302,,sup,Which company has the largest energy consumption from 2022 to 2023 among the following companies?,munich-re,multitable3_rel
182,"['OTC_BAMGF_2023', 'OTC_CRERF_2023', 'OTC_ESOCF_2023']","['310', '72', '139']","['0', '0', '0']",303,,rank,What are the top 3 highest water consumption values (in descending order) for the year 2023 among the following companies in millions of m3?,"35.4, 8.2, 5.05",multitable3_rel
9,"['OTC_BAYZF_2023', 'OTC_CRERF_2023', 'OTC_ESOCF_2023']","['132', '72', '139']","['0', '0', '0']",303,,sup,Which company has the smallest water consumption from 2022 to 2023 among the following companies in million cubic meters?,OTC_BAYZF,multitable3_rel
196,"['NASDAQ_DASTY_2023', 'OTC_BAYZF_2023', 'vivendi_2023']","['141', '63', '105']","['0', '0', '0']",305,,rank,What are the 3 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in TCO2eq?,"168709.0, 770748.0, 9720000.0",multitable3_rel
136,"['OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'OTC_ESOCF_2023']","['84', '63', '137']","['0', '0', '0']",305,,rank,What are the 3 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tons CO2e?,"5100000.0, 1120000.0, 142293.0",multitable3_rel
187,"['OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'axa_2023']","['84', '63', '179']","['0', '0', '0']",305,,sup,Which company has the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tons CO2e?,OTC_BAYZF,multitable3_rel
207,"['NYSE_AZ_2023', 'OTC_RWNEF_2023', 'vivendi_2023']","['60', '79', '105']","['0', '0', '0']",305,,rank,What are the 3 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in million mt CO2e?,"0.02, 0.11, 0.2",multitable3_rel
126,"['OTC_BAMGF_2023', 'OTC_CRERF_2023', 'OTC_ESOCF_2023']","['310', '72', '139']","['0', '0', '0']",303,,rank,What are the top 3 lowest water consumption values (in ascending order) for the year 2023 among the following companies in millions of cu.m?,"5.05, 8.2, 35.4",multitable3_rel
15,"['NYSE_TTE_2023', 'OTC_BAMGF_2023', 'vivendi_2023']","['387', '311', '140']","['3', '0', '0']",306,,sup,What is the highest amount of waste generated in the years 2023 and 2022 among the following companies in kt?,927.88,multitable3_rel
73,"['OTC_ADDDF_2023', 'OTC_ESOCF_2023', 'axa_2023']","['84', '137', '179']","['0', '0', '0']",305,,sup,Which company has the maximum amount of market-based scope 2 GHG emissions in 2023 among the following companies in MtCO2eq?,OTC_ESOCF,multitable3_rel
165,"['OTC_RWNEF_2023', 'axa_2023', 'vivendi_2023']","['79', '179', '105']","['0', '0', '0']",305,,rank,Which companies have the 3 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in TCO2eq?,"vivendi, axa, OTC_RWNEF",multitable3_rel
