;2023;2022
Carbon intensity in millions of euros of Revenue IFRS (tCO2-eq/M EUR);31.4;31.2
Carbon intensity per employee (tCO2-eq/employee);8.1;8.2
Energy consumption (MWh);71218;82766
Number of EACs acquired during the year;31102;37000
Share of renewable energy;84%;84%
Share of renewable electricity;89%;90%
Percentage of ISO 50001-certified sites;66.7%;44%
Percentage of workforce covered by ISO 50001 certified sites;65.3%;51%
Share of suppliers by weight of GHG emissions committed to a science-based reduction approach;37%;26%
Quantity of carbon credits acquired during the year (tCO2eq);673;671
