"Name and Location of Company;Owner- ship;Total Revenue in 20232;Profit/Loss C)AfterTax for 20232;total Equity as 12/31/2023?;Number of Employees as at 12/31/2023?;Footnot
Ariba Technologies India Private Limited, Bengaluru, India;100;107,665;14,181;41,767;1,360;
Ariba, Inc, Palo Alto, CA, United States;100;1,426,356;689,432;6,618,961;1,589;
Concur Technologies, Inc., Bellevue, WA, United States;100;2,169,139;408,667;8,828,126;3,217;
SAP (China) Co., Ltd., Shanghai, China;100;1,313,574;21,903;-75,918;6,528;17
SAP (Schweiz) AG, Biel, Switzerland;100;1,392,865;124,568;310,761;873;
SAP (UK) Limited, Feltham, United Kingdom;100;1,431,680;66,373;204,673;1,658;17
SAP America, Inc., Newtown Square, PA, United States;100;8,476,670;-112,108;11,879,728;9,225;
SAP Argentina S.A, Buenos Aires, Argentina;100;237,309;-19,467;-7,742;1,134;17
SAP Asia Pte. Ltd., Singapore, Singapore;100;713,377;8,864;11,302;1,085;17
SAP Australia Pty Ltd, Sydney, Australia;100;808,936;-17,934;96,836;1,302;
SAP Brasil Ltda. São Paulo, Brazil;100;810,113;37,881;112,716;2,839;17
SAP Canada Inc., Toronto, Canada;100;1,187,938;103,844;768,751;3,104;
SAP Deutschland SE &amp; Co. KG, Walldorf, Germany;100;5,724,456;819,333;1,796,440;5,048;9
SAP España – Sistemas, Aplicaciones y Productos en la Informática, S.A., Madrid, Spain;100;640,969;29,122;120,151;959;
SAP France S.A., Levallois-Perret, France;100;1,217,078;146,869;1,924,300;1,575;
SAP Hungary Rendszerek, Alkalmazások és Termékek az Adatfeldolgozásban Informatikai Kft., Budapest, Hungary;100;169,259;6,545;35,395;1,452;
SAP India Private Limited, Bengaluru, India;100;792,589;94,539;310,957;2,379;
SAP Industries, Inc., Newtown Square, PA, United States;100;603,743;158,746;1,427,522;239;
SAP Italia Sistemi Applicazioni Prodotti in Data Processing S.p.A., Vimercate, Italy;100;743,718;20,902;92,681;826;
SAP Japan Co., Ltd., Tokyo, Japan;100;1,164,259;77,354;303,285;1,416;
SAP Labs Bulgaria EOOD, Sofia, Bulgaria;100;121,838;5,945;32,905;1,330;
SAP Labs India Private Limited, Bengaluru, India;100;890,380;99,539;281,808;10,672;
SAP Labs, LLC, Palo Alto, CA, United States;100;668,207;118,097;864,453;1,733;
SAP México S.A. de C.V., Mexico City, Mexico;100;531,654;-6,246;131,233;1,118;17"
