"quantity of share; specification; grant date; outstanding; granted; exercised; adjusted; forfeited; outstanding; thereof; unvested; thereof; subject to; holding period
luka mucic (until 3/31/2023); lti 2020 – tranche 2023 – fsu; 3/24/2023; 0; 8,819; -8,276; f; 543; 543; 543
; lti 2020 – tranche 2023 – msu; 3/24/2023; 0; 8,819; -8,276; f; 543; 543; 543
; lti 2020 – tranche 2023 – rsu; 3/24/2023; 0; 8,819; -8,276; f; 543; 543; 543
; lti 2020 – tranche 2022 – fsu; 3/28/2022; 9,068; 0; -6,244; f; 2,824; 2,824; 2,824
; lti 2020 – tranche 2022 – msu; 3/28/2022; 9,068; 0; -6,244; f; 2,824; 2,824; 2,824
; lti 2020 – tranche 2022 – rsu; 3/28/2022; 9,068; 0; -6,244; f; 2,824; 2,824; 2,824
; lti 2020 – tranche 2021 – fsu; 3/22/2021; 8,679; 0; -3,808; f; 4,871; 4,871; 4,871
; lti 2020 – tranche 2021 – msu; 3/22/2021; 8,679; 0; -3,808; f; 4,871; 4,871; 4,871
; lti 2020 – tranche 2021 – rsu; 3/22/2021; 8,679; 0; -3,808; f; 4,871; 4,871; 4,871
; lti 2020 – tranche 2020 – fsu; 2/29/2020; 6,403; 0; -3,370; f/a; 3,033; 0; 3,033
; lti 2020 – tranche 2020 – msu; 2/29/2020; 6,403; 0; -6,403; f/a; 0; 0; 0
; lti 2020 – tranche 2020 – rsu; 2/29/2020; 6,403; 0; -1,205; f; 5,198; 0; 5,198
; lti 2016 – tranche 2019 – psu; 2/20/2019; 15,628; 0; -15,628; a/e; 0; 0; 0
; lti 2016 – tranche 2019 – rsu; 2/20/2019; 10,419; 0; -10,419; e; 0; 0; 0
scott russell; lti 2020 – tranche 2023 – fsu; 3/24/2023; 0; 8,667; 0; 8,667; 8,667; 8,667
; lti 2020 – tranche 2023 – msu; 3/24/2023; 0; 8,667; 0; 8,667; 8,667; 8,667
; lti 2020 – tranche 2023 – rsu; 3/24/2023; 0; 8,667; 0; 8,667; 8,667; 8,667
; lti 2020 – tranche 2022 – fsu; 3/28/2022; 8,911; 0; 0; 8,911; 8,911; 8,911
; lti 2020 – tranche 2022 – msu; 3/28/2022; 8,911; 0; 0; 8,911; 8,911; 8,911
; lti 2020 – tranche 2022 – rsu; 3/28/2022; 8,911; 0; 0; 8,911; 8,911; 8,911
; lti 2020 – tranche 2021 – fsu; 3/22/2021; 8,170; 0; 0; 8,170; 8,170; 8,170
; lti 2020 – tranche 2021 – msu; 3/22/2021; 8,170; 0; 0; 8,170; 8,170; 8,170
; lti 2020 – tranche 2021 – rsu; 3/22/2021; 8,170; 0; 0; 8,170; 8,170; 8,170
juergen mueller; lti 2020 – tranche 2023 – fsu; 3/24/2023; 0; 6,612; 0; 6,612; 6,612; 6,612
; lti 2020 – tranche 2023 – msu; 3/24/2023; 0; 6,612; 0; 6,612; 6,612; 6,612
; lti 2020 – tranche 2023 – rsu; 3/24/2023; 0; 6,612; 0; 6,612; 6,612; 6,612
; lti 2020 – tranche 2022 – fsu; 3/28/2022; 6,798; 0; 0; 6,798; 6,798; 6,798
; lti 2020 – tranche 2022 – msu; 3/28/2022; 6,798; 0; 0; 6,798; 6,798; 6,798
; lti 2020 – tranche 2022 – rsu; 3/28/2022; 6,798; 0; 0; 6,798; 6,798; 6,798
; lti 2020 – tranche 2021 – fsu; 3/22/2021; 6,811; 0; 0; 6,811; 6,811; 6,811
; lti 2020 – tranche 2021 – msu; 3/22/2021; 6,811; 0; 0; 6,811; 6,811; 6,811
; lti 2020 – tranche 2021 – rsu; 3/22/2021; 6,811; 0; 0; 6,811; 6,811; 6,811
; lti 2020 – tranche 2020 – fsu; 2/29/2020; 5,864; 0; -2,442; a; 3,422; 0; 3,422
; lti 2020 – tranche 2020 – msu; 2/29/2020; 5,864; 0; -5,864; a; 0; 0; 0
; lti 2020 – tranche 2020 – rsu; 2/29/2020; 5,864; 0; 0; 5,864; 0; 5,864
; lti 2016 – tranche 2019 – psu; 2/20/2019; 14,311; 0; -14,311; a/e; 0; 0; 0
; lti 2016 – tranche 2019 – rsu; 2/20/2019; 9,541; 0; -9,541; e; 0; 0; 0"
