"Quantity of Share Units;Specification LTI 2016 -Tranche 2019-PSU;Grant Date 2/20/2019;outstanding;vasjusted Forfeited;toy (F);Outstandin &amp;;Thereof Unvested;subjectto Holding Period
Robert Enslin (until 4/5/2019);LTI 2016 — Tranche 2019 — PSU;2/20/2019;15,893;-15,893;A/E;0;0;0
Robert Enslin (until 4/5/2019);LTI 2016 — Tranche 2019 — RSU;2/20/2019;722;-722;E;0;0;0
Michael Kleinemeier (until 4/30/2020);LTI 2020 - Tranche 2020 — FSU;2/29/2020;6,403;-2,667;A;3,736;0;3,736
Michael Kleinemeier (until 4/30/2020);LTI 2020 - Tranche 2020 — MSU;2/29/2020;6,403;-6,403;A;0;0;0
Michael Kleinemeier (until 4/30/2020);LTI 2020 - Tranche 2020 — RSU;2/29/2020;6,403;0;0;6,403;0;6,403
Robert Enslin (until 4/5/2019);LTI 2016 -Tranche 2019-PSU;2/20/2019;20,375;-20,375;A/E;0;0;0
Robert Enslin (until 4/5/2019);LTI 2016 -Tranche 2019-RSU;2/20/2019;5,213;-5,213;E;0;0;0
Bernd Leukert (until 3/31/2019);LTI 2016 -Tranche 2019-PSU;2/20/2019;20,335;-20,335;A/E;0;0;0
Bernd Leukert (until 3/31/2019);LTI 2016 — Tranche 2019 — RSU;2/20/2019;6,594;-6,594;E;0;0;0
Bill McDermott (until 11/15/2019);LTI 2016 -Tranche 2019-PSU;2/20/2019;46,880;-46,880;A/E;0;0;0
Bill McDermott (until 11/15/2019);LTI 2016 -Tranche 2019-RSU;2/20/2019;7,348;-7,348;E;0;0;0"
