"y of Share Units;Specification LTI 2020 - Tranche 2020 - FSU;Grant Date;1/1/2023 outstanding;During the Year adjusted to;Forfeited (F);Outstanding;Thereof Unvested;12/31/2023 subject to Holding Period
130/200);LTI2020-Tranche 2020-MSU;2/29/2020;4,904;-4,904;A;0;0;0
;LTI2020-Tranche 2020-RSU;2/29/2020;4,904;0;4,904;0;4,904
;LTI 2016 — Tranche 2019 — PSU;11/20/2019;3,826;-3,826;A/E;0;0;0
;LTI 2016 - Tranche 2019-PSU;7/25/2019;2,781;-2,781;A/E;0;0;0
;LTI 2016 - Tranche 2019 — PSU;2/20/2019;15,628;-15,628;A/E;0;0;0
;LTI 2016 — Tranche 2019 — RSU;11/20/2019;2,552;-2,552;E;0;0;0
;LTI 2016 Tranche 2019-RSU;7/25/2019;1,853;-1,853;E;0;0;0
;LTI 2016 -Tranche 2019-RSU;2/20/2019;10,419;-10,419;E;0;0;0
7317/2020);LTI 2020 - Tranche 2020 - FSU;2/29/2020;2,240;-933;A;1,307;0;1,307
;LTI2020-Tranche 2020-MSU;2/29/2020;2,240;-2,240;A;0;0;0
;LTI2020-Tranche 2020-RSU;2/29/2020;2,240;0;2,240;0;2,240
;LTI 2016 - Tranche 2019 — PSU;2/20/2019;13,165;-13,165;A/E;0;0;0
;LTI 2016 – Tranche 2019 – RSU;2/20/2019;8,776;-8,776;E;0;0;0
;Total;;223,001;-201,550;;21,451;0;21,451"
