"Measurement category (IFRS 9);Carried at amortized cost;quoted prices in active markets (Level 1);Based on observable — market data (Level 2) Carrying amount;Based on unobservable inputs (Level 3);— Nonfinancial assets/ liabilities;Total
€ million;Carrying amount;Carrying amount;Carrying amount;Carrying amount;Total
Trade accounts receivable;9,881;177;;254;;10,312
AC;9,881;;;9,881;;9,881
FVTPL, mandatory;177;;;177;;177
FVTOCI (recycling);;;;254;;254
Nonfinancial assets;;;;254;;254
Other financial assets;259;1,459;3,746;1,793;;7,257
AC;230;;[219];;230;;230
FVTPL, mandatory;1,395;3,524;1,440;;6,359
FVTOCI (no recycling), designated;55;;340;;395
FVTPL - derivatives - no hedge accounting;9;96;13;;118
Derivatives hedge accounting;;;126;;126
Lease receivables;29;;[29];;29
Other receivables;406;;33;2,549;2,988
AC;406;;[406];;406
FVTPL, mandatory;;33;;;33
Nonfinancial assets;;;;2,549;2,549
Cash and cash equivalents;5,171;;;5,171;;5,171
AC;5,171;;[5,171];;5,171
Total financial assets;15,717;1,636;3,746;1,826;;22,925
of which AC;15,688;;;15,688;;
of which FVTPL;;1,581;3,620;1,486;;6,687
Financial liabilities;41,377;;190;;85;41,652
AC;40,143;[28,340];[8,298];;40,143
FVTPL - derivatives - no hedge accounting;;;171;;171
Derivatives - hedge accounting;;;19;;19
Lease liabilities;1,234;;;;1,234
Nonfinancial liabilities;;;;85;85
Trade accounts payable;7,545;;;;7,545
AC;7,545;;;;7,545
Other liabilities;2,124;9;143;1,734;901;4,911
AC;2,124;;[2,124];;2,124
FVTPL (nonderivative), mandatory;;1,729;;;1,729
FVTPL - derivatives - no hedge accounting;9;25;5;;39
Derivatives - hedge accounting;;;118;;118
Nonfinancial liabilities;;;;901;901
Total financial liabilities;51,046;9;333;1,734;;53,122
of which AC;49,812;;;49,812;;
of which FVTPL;;9;196;1,734;1,939"
