"Economic activities;Climate change mitiga- tion;Climate change adapta- tion;Water;Pollution;Circular economy;Bio- diversi’;Minimum safe- guards;Proportion of taxonomy -aligned (A.1) or _ -eligible (A.2) OpEx 2022;Category enabling activity;Category transitional activity
;Y/N;Y/N;Y/N;Y/N;Y/N;Y/N;Y/N;%;E;T
A. Taxonomy-eligible activities;;;;;;;0;;;0
Of which enabling;;;;;;;0;;;0
Of which transitional;;;;;;;0;;;0
A.2 Taxonomy-eligible but not environmentally sustainable activities (not taxonomy- aligned activities);;;;;;–;0;;;0
OpEx of taxonomy-eligible but not environmentally sustainable activities (not taxonomy- aligned activities) (A.2);;;;;;;;0;;;
OpEx of taxonomy-eligible activities (A.1+A.2);;;;;;;;;;
B. Taxonomy-non-eligible activities;;;;;;;;;;;
OpEx of taxonomy-non-eligible activities;;;;;;;;;;;
Total;;;;;;;;;;;"
