"Economic activities;Climate change mitiga-tion;Climate change adapta-tion;Water;Pollution;Circular economy;Bio-diversity;Minimum safe-guards;Proportion of taxonomy -aligned (A.1) or -eligible (A.2) turnover 2022;Category enabling activity;Category transitional activity
;Y/N;Y/N;Y/N;Y/N;Y/N;Y/N;Y/N;%;E;T
A. Taxonomy-eligible activities;;;;;;;0;0;0
A.1 Environmentally sustainable activities;;;;;;;0;0;0
(taxonomy-aligned) Turnover of environmentally sustainable activities;;;;;;;0;0;0
(taxonomy-aligned) (A.1) Of which enabling;;;;;;;0;0;0
Of which transitional;;;;;;;0;0;0
A.2 Taxonomy-eligible but not environmentally sustainable activities (not taxonomy-aligned activities);;;;;;;;0;0;0
Manufacture of medicinal products;-;-;-;-;-;-;-;0;-;-
Turnover of taxonomy-eligible but not environmentally sustainable activities (not taxonomy-aligned activities) (A.2);0;;;;;;;0;0;0
Turnover of taxonomy-eligible activities (A.1+A.2);0;;;;;;;0;0;0
B. Taxonomy-non-eligible activities;;;;;;;0;0;0
Turnover of taxonomy-non-eligible activities;;;;;;;0;0;0
Total;;;;;;;0;0;0"
