"csv
€ million;Land and buildings;installations and machinery;fixtures and other equipment;in progress and advance payments;Total
Cost of acquisition or construction, December 31, 2022;10,478;11,984;2,601;3,274;28,337
Acquisitions;1;-;-;-;1
Capital expenditures;455;325;304;1,394;2,478
Retirements;(344);(251);(256);(9);(860)
Transfers;491;793;130;(1,414);-
Transfers (IFRS 5);(125);(17);(3);-;(145)
Divestments/changes in the scope of consolidation;6;(7);(3);-;(4)
Inflation adjustment (IAS 29);176;174;40;31;421
Exchange differences;(399);(380);(88);(104);(971)
December 31, 2023;10,739;12,621;2,725;3,172;29,257
Accumulated depreciation and impairment, December 31, 2022;4,704;8,070;1,844;45;14,663
Retirements;(218);(231);(225);(1);(675)
Depreciation and impairment losses;707;953;346;329;2,335
Depreciation;538;775;304;-;1,617
Impairment losses;169;178;42;329;718
Impairment loss reversals;(4);(3);(2);-;(9)
Transfers;2;26;1;(29);-
Transfers (IFRS 5);(81);(13);(2);-;(96)
Divestments/changes in the scope of consolidation;6;(3);(2);-;1
Inflation adjustment (IAS 29);79;133;31;-;243
Exchange differences;(175);(279);(63);(9);(526)
December 31, 2023;5,020;8,653;1,928;335;15,936
Carrying amounts, December 31, 2023;5,719;3,968;797;2,837;13,321
Carrying amounts, December 31, 2022;5,774;3,914;757;3,229;13,674"
