"Economic activities;Climate change mitiga-;Climate change adapta-tion;Water;Pollution;Circular economy;Bio-;Minimum safe-guards;taxonomy -aligned (A.1) or -eligible (A.2) CapEx 2022;Category enabling activity;Category transitional activity
; ;Y/N;Y/N;Y/N;Y/N;Y/N;Y/N;%;E;T
A. Taxonomy-eligible activities; ; ; ; ; ; ; ; ; ; 
A.1 Environmentally sustainable activities (taxonomy-aligned); ; ; ; ; ; ; ; ; ; 
CapEx of environmentally sustainable activities (taxonomy-aligned) (A.1); ; ; ; ; ; ; ;0; ; 
Of which enabling; ; ; ; ; ; ; ;0; ; 
Of which transitional; ; ; ; ; ; ; ;0; ; 
A.2 Taxonomy-eligible but not environmentally sustainable activities (not taxonomy-aligned activities); ; ; ; ; ; ; ; ; ; 
Construction, extension and operation of waste water collection and treatment; -; -; -; -; -; =; =; 0.2; ; 
Renewal of waste water collection and treatment; -; -; -; -; -; -; -; 0.3; ; 
Transport by motorbikes, passenger cars and light commercial vehicles; -; -; -; -; -; -; -; 0.6; ; 
Renovation of existing buildings; -; -; -; -; -; -; -; 3.2; ; 
Installation, maintenance and repair of energy efficiency equipment; -; -; -; -; -; -; -; 1.2; ; 
Installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings; -; -; -; -; -; -; -; 0.5; ; 
Acquisition and ownership of buildings; -; -; -; -; -; _; -; 4.7; ; 
Manufacture of medicinal products; -; -; -; -; -; _; -; 0; ; 
CapEx of taxonomy-eligible but not environmentally sustainable activities (not taxonomy-aligned activities) (A.2); ; ; ; ; ; ; ;10.7; ; 
CapEx of taxonomy-eligible activities (A.1+A.2); ; ; ; ; ; ; ; ; ; 
B. Taxonomy-non-eligible activities; ; ; ; ; ; ; ; ; ;"
