index,question,value,response,correct
0,What is the sum of location-based scope 2 GHG emissions in 2022 among the following companies in million mt CO2e?,4.13,response too long,False
1,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tons CO2e?,1065890.2,response too long,False
2,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,20.67,6.76534e+06,False
3,What is the total energy consumption generated by the following companies in the last 2 years in million kWh?,606619.71,response too long,False
4,What is the average energy consumption from 2023 to 2022 among the following companies?,379059.3,response too long,False
5,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in MtCO2eq?,13.92,180000.25,False
6,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in million mt CO2e?,3.66,response too long,False
7,What is the total amount of waste generated from 2022 to 2023 among the following companies?,2025651.6,21395,False
8,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in Million metric tons of CO2 equivalents?,0.28,response too long,False
9,What is the average of direct GHG emissions from 2022 to 2023 among the following companies?,14837.29,response too long,False
10,What is the average of total water consumption in the years 2023 and 2022 among the following companies in millions of m3?,12.52,"45.2#35.4 |

the average of 35.4#45.2 is 40.3 |

",False
11,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in MtCO2eq?,1.26,response too long,False
12,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in Million metric tons of CO2 equivalents?,1.28,142424.67,False
13,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2-eq?,16966056.2,response too long,False
14,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in tCO2e?,276785.4,response too long,False
15,What is the total amount of waste generated from 2022 to 2023 among the following companies?,280642.6,response too long,False
16,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tCO2eq?,1285991.0,response too long,False
17,What is the total energy consumption generated by the following companies in the last 2 years in TWh?,351.04,response too long,False
18,What is the average energy consumption from 2023 to 2022 among the following companies?,139583.04,response too long,False
19,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tons CO2e?,1283792.2,response too long,False
20,What is the total amount of waste generated from 2022 to 2023 among the following companies?,2025890.6,response too long,False
21,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in TCO2eq?,941063.8,response too long,False
22,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in tCO2e?,1383927.0,response too long,False
23,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,1161478.0,response too long,False
24,What is the average energy consumption from 2023 to 2022 among the following companies?,302832.93,response too long,False
25,What is the average energy consumption from 2023 to 2022 among the following companies?,307238.44,response too long,False
26,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,21.28,no answer in the response,False
27,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in Million metric tons of CO2 equivalents?,14.5,response too long,False
28,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in million mt CO2e?,1.38,response too long,False
29,What is the total energy consumption generated by the following companies in the last 2 years in TJ?,1941826.18,response too long,False
30,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in tons CO2e?,293979.8,response too long,False
31,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in tCO2-eq?,1469899.0,response too long,False
32,What is the average of direct GHG emissions from 2022 to 2023 among the following companies?,9313.49,response too long,False
33,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,21.1,response too long,False
34,What is the total energy consumption generated by the following companies in the last 2 years in GWh?,418761.6,response too long,False
35,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in million mt CO2e?,0.29,response too long,False
36,What is the average energy consumption from 2023 to 2022 among the following companies?,24941.64,33.17,False
37,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,16400239.6,102.1,False
38,What is the total energy consumption generated by the following companies in the last 2 years in million kWh?,418673.96,"33.26#33.09 | step | output |
| 1 | arithmetic |
| 2 | 33.09#33.26 |
| 3 | 33.09 + 33.26 |
| 4 | 66.35 |
| 5 | million kwh |

### ",False
39,What is the average of total water consumption in the years 2023 and 2022 among the following companies in m3?,12523903.2,"45.2#35.4 |

the average of 35.4#45.2 is 40.3 |

",False
40,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tons CO2e?,16987870.4,response too long,False
41,What is the total amount of waste generated from 2022 to 2023 among the following companies?,2005514.6,no answer in the response,False
42,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in MtCO2eq?,1.13,response too long,False
43,What is the sum of location-based scope 2 GHG emissions in 2022 among the following companies in tCO2eq?,4126790.0,response too long,False
44,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in Million metric tons of CO2 equivalents?,1.47,response too long,False
45,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in TCO2eq?,261063.8,response too long,False
46,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in MtCO2eq?,13.28,response too long,False
47,What is the total amount of waste generated from 2022 to 2023 among the following companies?,1771368.6,2229.8,False
48,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,1160219.6,response too long,False
49,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2-eq?,6910384.8,158957.25,False
