index,question,value,response,correct
0,What is the sum of location-based scope 2 GHG emissions in 2022 among the following companies in million mt CO2e?,4.13,total: 229.00,False
1,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tons CO2e?,1065890.2,average: 10080.00,False
2,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,20.67,"average: 1,066,000.00",False
3,What is the total energy consumption generated by the following companies in the last 2 years in million kWh?,606619.71,"total energy consumption generated by the companies in the last 2 years in million kwh: 35056.00, 12241.00, 13253.00, 250916.00",False
4,What is the average energy consumption from 2023 to 2022 among the following companies?,379059.3,"average energy consumption: 71218.00, 82766.00, 35056.00, 1124327.00, 250916.00",False
5,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in MtCO2eq?,13.92,average scope 3 ghg emissions in 2023: 100.00,False
6,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in million mt CO2e?,3.66,"total: 112228.00, 3.28, 0.20, 22042.00",False
7,What is the total amount of waste generated from 2022 to 2023 among the following companies?,2025651.6,"total waste generated from 2022 to 2023: 1,000.00, 1,745.00, 1,429.60, 1,000.00",False
8,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in Million metric tons of CO2 equivalents?,0.28,"average: 1.12, 14.25, 0.10, 14.25",False
9,What is the average of direct GHG emissions from 2022 to 2023 among the following companies?,14837.29,average: 118.77,False
10,What is the average of total water consumption in the years 2023 and 2022 among the following companies in millions of m3?,12.52,average: 20.78,False
11,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in MtCO2eq?,1.26,"average amount of market-based scope 2 ghg emissions in 2022: 30490.00, 1.12, 5.10, 19496.00, 14221.00",False
12,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in Million metric tons of CO2 equivalents?,1.28,"1.12, 4.51, 19.50",False
13,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2-eq?,16966056.2,average: 1031.80,False
14,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in tCO2e?,276785.4,"average scope 2 emissions in 2022: 142293.00, 1.12, 14249.00",False
15,What is the total amount of waste generated from 2022 to 2023 among the following companies?,280642.6,"total waste generated: 124139.00, 953.10, 10007.00",False
16,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tCO2eq?,1285991.0,"average amount of market-based scope 2 ghg emissions in 2022: 30490.00, 142293.00, 1120.00, 4510.00, 59232.00",False
17,What is the total energy consumption generated by the following companies in the last 2 years in TWh?,351.04,"total energy consumption: 0.03, 0.03, 0.71, 0.83, 1, 1.00, 157.00, 166.00",False
18,What is the average energy consumption from 2023 to 2022 among the following companies?,139583.04,"average energy consumption: 112.00, 82.77, 329.78, 250.92, 33.19",False
19,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tons CO2e?,1283792.2,"average amount of market-based scope 2 ghg emissions in 2022: 142293.00, 1120000.00, 19496.00, 14221.00",False
20,What is the total amount of waste generated from 2022 to 2023 among the following companies?,2025890.6,total waste generated: 1840320.00,False
21,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in TCO2eq?,941063.8,average: 66.66,False
22,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in tCO2e?,1383927.0,"total scope 2 emissions in 2022: 142293.00, 1.12, 14249.00",False
23,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,1161478.0,"average: 142457.00, 1.11, 4.51, 14.22",False
24,What is the average energy consumption from 2023 to 2022 among the following companies?,302832.93,"157.00, 1, 12241.00, 33.09",False
25,What is the average energy consumption from 2023 to 2022 among the following companies?,307238.44,"average energy consumption: 157.00, 2.00, 1124.33, 33.09",False
26,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,21.28,"average amount of ghg emissions scope 3 in 2022: 7635784.00, 71.04, 23.80, 3039435.00, 735018.00",False
27,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in Million metric tons of CO2 equivalents?,14.5,"average: 179.73, 5.89, 9.18, 56.53, 735.02",False
28,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in million mt CO2e?,1.38,"sum of ghg emissions scope 2 in 2022: 142.29, 1.12, 0.10, 14.25",False
29,What is the total energy consumption generated by the following companies in the last 2 years in TJ?,1941826.18,"total energy consumption in tj: 1,020.00, 1,047.00, 1,020.00, 1,020.00, 1,020.00, 1,020.00",False
30,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in tons CO2e?,293979.8,"average scope 2 emissions in 2023: 14249.00, 142457.00, 1.11, 0.20, 0.00",False
31,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in tCO2-eq?,1469899.0,"total scope 2 emissions in 2023: 14249.00, 1.11, 0.20, 3193.00, 142457.00",False
32,What is the average of direct GHG emissions from 2022 to 2023 among the following companies?,9313.49,average: 45.77,False
33,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,21.1,average: 118.00,False
34,What is the total energy consumption generated by the following companies in the last 2 years in GWh?,418761.6,"total energy consumption in gwh: 71218.00, 82766.00, 157.00, 12241.00, 13253.00, 250916.00",False
