"As of March 13, 2024;Age;Sex;_ Nationality;Number of shares;Number of directorships®;Independence®;Initial date of appointment;Term of office expires;Length of service on the Board; 
Patrick Pouyanné;Chairman and Chief Executive Officer;60;M;| |;410,695;1;x;2015;2024;9;v
Jacques Aschenbroich;Lead Independent Director;69;M;| |;1,000;2;✓;2021;2024;3;✓
Marie-Christine Coisne-Roquette;Independent;67;F;| |;5,000;1;x;2011;2026;13;✓
Lise Croteau;63;F;| |;1,100;2;✓;2019;2025;5;✓
Mark Cutifani;65;M;| |;2,000;0;✓;2017;2026;7;✓
Romain Garcia-ivaldi;Director representing employees;35;M;il;178;0;n/a;2020;2026;4;✓
Maria van der Hoeven;74;F;—_;1,800;0;✓;2016;2025;8;✓
Glenn Hubbard;65;M;SS;1,000;1;✓;2021;2024;3;✓
Anne-Marie Idrac;72;F;il;1,539;1;✓;2012;2024;12;✓
Emma de Jonge;Director representing employee shareholders;60;F;—;184;0;n/a;2022;2025;2;✓
Anelise Lara;62;F;| |;1,000;0;✓;2023;2026;1; 
Jean Lemierre;73;M;il;1,042;1;✓;2016;2025;8;✓
Dierk Paskert;62;M;=;1,200;0;✓;2023;2026;1; 
Angel Pobo;Director representing employees;54;M;il;539;0;n/a;2020;2026;4;✓"
