Environmental footprint;Unit;2019;2020;2021;2022;2023
Atmospheric chronic emissions (excluding GHG);;;;;;
SO2 emissions;kt;39;34;16;13;12
NOx emissions;kt;72;64;59;60;60
NMVOC emissions;kt;83;69;58;48;43
Total particulate matters;kt;-;-;3.8;3.9;4.1
Discharged water quality;;;;;;
Offshore continuous water discharges hydrocarbon content;mg/l;13;12.8;13.7;12.9;11.6
% of sites that meet the target for offshore discharges quality (30 mg/l)(b);%;100;100;92;93;92
Onshore continuous water discharges hydrocarbon content;mg/l;1.7;1.9;2.6;1.8;1.9
% of sites that meet the 2030 target for onshore discharges quality: 1 mg/l;%;-;--;80;73;86
Water-related indicators;;;;;;
Fresh water withdrawals excluding open loop cooling water;Mm3;115;105;101;107;102
Fresh water withdrawal in water stress area(a);Mm3;-;52;54;55;50
Fresh water consumption;Mm3;75;75;80;76;
Forest related indicators;;;;;;
Deforested area;ha;-;-;-;0;81
Compensated area;ha;-;-;-;0;59
Net deforestation(d);ha;-;-;-;0;22
