;Operated domain;Operated domain;Operated domain;Operated domain;Operated domain;Operated domain;Operated domain;Equity interest domain;Equity interest domain;Equity interest domain;Equity interest domain;Equity interest domain;Equity interest domain
GHG emissions - Methane;Unit;2015;2019;2020;2021;2022;2023;2015;2019;2020;2021;2022;2023
Methane emissions(a);kt CH4;94;68;64;49;42;34;-;-;-;51;47;40
Methane emissions(a);vs 2020;-;-;-;-23%;-34%;-47%;-;-;-;-;-;-
Breakdown by segment;-;-;-;-;-;-;-;-;-;-;-;-;-
Upstream oil & gas activities;kt CH4;92;66;62;48;41;33;-;-;-;48;43;36
Integrated LNG, excluding upstream gas operations;kt CH4;0;0;<1;<1;0;<1;-;-;-;2;3;2
Integrated Power;kt CH4;0;<1;<1;<1;1;<1;-;-;-;<1;1;<1
Refining & Chemicals;kt CH4;1;1;1;1;1;1;-;-;-;1;1;1
Marketing & Services;kt CH4;0;0;0;0;0;0;-;-;-;0;0;0
Breakdown by geography;-;-;-;-;-;-;-;-;-;-;-;-;
Europe: EU 27 + Norway + UK + Switzerland;kt CH4;9;15;12;7;7;5;-;-;-;5;5;4
Eurasia (incl. Russia)/Oceania;kt CH4;33;3;3;1;1;1;-;-;-;16;15;11
Africa;kt CH4;49;39;31;23;23;18;-;-;-;18;17;19
Americas;kt CH4;3;10;18;18;12;9;-;-;-;12;10;7
