;;Operated domain;Operated domain;Operated domain;Operated domain;Operated domain;Operated domain;Equity interest domain;Equity interest domain;Equity interest domain;Equity interest domain;Equity interest domain;Equity interest domain
GHG Emissions - Scope 1+2;Unit;2015;2019;2020;2021;2022;2023;2015;2019;2020;2021;2022;2023
Scope 1 - Direct emissions;Mt CO2e;42;41;38*(36);34 (33);37;32;50;55;52;49;51;45
Breakdown by segment - Upstream oil & gas activities;Mt CO2e;19;18;16;14;14;12;22;26;24;23;22;19
Breakdown by segment - Integrated LNG, excluding upstream gas operations;Mt CO2e;-;0;<1;<1;<1;<1;-;1;1;1;1;1
Breakdown by segment - Integrated Power;Mt CO2e;-;3;3;5;9;6;-;3;4;5;9;6
Breakdown by segment - Refining & Chemicals;Mt CO2e;22;20;17;15*(14);15;14;27;25;22;<1;<19;<1
Breakdown by segment - Marketing & Services;Mt CO2e;<1;<1;<1;<1;<1;<1;1;<1;<1;<1;<1;<1
Breakdown by geography - Europe: EU 27 + Norway + UK + Switzerland;Mt CO2e;22;24;22*(21);20*(19);23;19;22;23;20;18;21;18
Breakdown by geography - Eurasia (incl. Russia)/Oceania;Mt CO2e;5;1;1;1;<1;<1;13;18;17;17;15;12
Breakdown by geography - Africa;Mt CO2e;12;11;10;9;9;8;9;8;7;7;7;7
Breakdown by geography - Americas;Mt CO2e;4;4;4;5;5;5;5;6;7;7;8;7
Breakdown by type of gas - CO2;Mt CO2e;39;39;34;32;36;31;-;-;-;47;50;43
Breakdown by type of gas - CH4;Mt CO2e;2;2;2;1;1;1;-;-;-;1;1;1
Breakdown by type of gas - N2O;Mt CO2e;<1;<1;<1;<1;<1;<1;-;-;-;<1;<1;<1
Scope 2 - Indirect emissions from energy use;Mt CO2e;4;4;3*(3);2*(2);2;2;-;-;-;5;5;4
of which Europe: EU 27 + Norway + UK + Switzerland;Mt CO2e;2;2;2* (2);1* (1);1;1;-;-;-;2;2;2
Scope 1+2;Mt CO2e;46;44*;41*(38);37*(35.7);40;35;-;-;-;54;56;49
Scope 1+2;vs 2015;-;-3%;-9%;-20%;-13%;-24%;-;-;-;-;-;-
Scope 1+2 - of which oil & gas facilities;Mt CO2e;46;42;39*(36);33*(32);33;30;-;-;-;49;48;44
Scope 1+2 - of which CCGT;Mt CO2e;-;2;3*(3);4;7;4;-;-;-;8;8;5
