;;Operated domain;Operated domain;Operated domain;Operated domain;Equity interest domain;Equity interest domain;Equity interest domain
GHG Emissions - methane;Unit;2023;2022;2021;2015;2023;2022;2021
Methane emissions(a);kt CH₄;34;42;49;94;40;47;51
Breakdown by segment - Upstream oil & gas activities;kt CH₄;33;41;48;92;36;43;48
Breakdown by segment - Integrated LNG, excluding upstream gas operations;kt CH₄;<1;0;<1;0;2;3;2
Breakdown by segment - Integrated Power;kt CH₄;<1;1;<1;0;<1;1;<1
Breakdown by segment - Refining & Chemicals;kt CH₄;1;1;1;1;1;1;1
Breakdown by segment - Marketing & Services;kt CH₄;0;0;0;0;0;0;0
Breakdown by geography - Europe: EU 27 + Norway + UK + Switzerland;kt CH₄;5;7;7;9;4;5;5
Breakdown by geography - Eurasia (incl. Russia)/Oceania;kt CH₄;1;1;1;33;11;15;16
Breakdown by geography - Africa;kt CH₄;18;23;23;49;19;17;18
Breakdown by geography - Americas;kt CH₄;9;12;18;3;7;10;12
