"Bonus (continued); 
(at 100% target achievement corresponds to 50% of target amount) Performance component; — Assessment period one year
; 9 — Base amount p. a. (50% of target bonus amount):
; —€0.475 million (first period of office = first remuneration level)
; —€ 0.575 million (from second period of office or fourth year of mandate = second remuneration level) —€ 1.050 million of the Board of
; (Chairman Management) — Formula: 50% of target amount x performance factor
; —€1.035 million (from second period of office or fourth year of mandate second remuneration level) — € 1.890 million (Chairman of the Board of Management) — Earnings component of bonus rewards attainment of financial targets and is beneficial for earnings-related aspects of business strategy
; Strategic relevance Share-based remuneration
; — Performance component of bonus motivates the pursuit of non-financial strategic targets and is therefore beneficial for the long-term development of the BMW Group
; Personal cash investment amount
; — Requirement for Board of Management members to invest an earmarked cash amount (personal cash investment amount), net of tax and deductions, in shares of BMW common stock immediately after disbursement — Payment as part of the next payroll run after the Annual General Meeting at which the Financial Statements are presented for the relevant vesting year — Requirement for Board of Management members to hold the acquired shares of common stock for at least four years; this requirement remains in effect for individuals who step down from the Board of Management (share ownership guideline) — Assessment period of five years in total (one year for determining the personal cash investment amount, four years holding requirement) —Target amount p. a. (at 100% target achievement):
; Calculation
; —€1.10 million (first period of office = first remuneration level) —€ 1.28 million (from second period of office or fourth year of mandate = second remuneration level) — € 2.35 million (Chairman of the Board of Management)
; —50% of target amount depends on RoCE achieved in the Automotive segment (RoCE component) —50% of the target amount depends on the achievement of predefined strategic focus targets (strategic focus target component) — Capped at 180% of target amount — Payment after the Annual General Meeting at which the Financial Statements are presented for the relevant vesting year"
