"in € million;Maturity within one year;Maturity between one and five years;Maturity later than five years;Total;Maturity within one year;Maturity between one and five years;Maturity later than five years;Total
NON-DERIVATIVE FINANCIAL LIABILITIES;;;;;;;;
Bonds;11,308;23,450;9,150;43,908;11,951;24,710;9,496;46,157
Asset-backed financing transactions;8,161;12,996;-;21,157;8,057;11,470;-;19,527
Liabilities to banks;3,998;1,386;850;6,234;4,456;2,594;775;7,825
Liabilities from customer deposits (banking);14,280;4,037;8;18,325;13,285;3,337;14;16,636
Trade payables;15,512;35;-;15,547;14,080;40;-;14,120
Lease liabilities;497;1,460;882;2,839;533;1,460;1,094;3,087
Commercial paper;3,298;-;-;3,298;1,714;-;-;1,714
Other financial liabilities;191;146;174;511;305;181;202;688
DERIVATIVE FINANCIAL LIABILITIES;;;;;;;;
With gross settlement;-951;-522;4;-1,469;1,150;280;-413;1,017
Cash outflows;18,145;12,650;598;31,393;20,537;13,087;319;33,943
Cash inflows;-19,096;-13,172;-594;-32,862;-19,387;-12,807;-732;-32,926
With net settlement;-1,614;-2,398;-249;-4,261;1,201;1,993;378;3,572
Cash inflows / outflows;-1,614;-2,398;-249;-4,261;1,201;1,993;378;3,572
Total financial liabilities;54,680;40,590;10,819;106,089;56,732;46,065;11,546;114,343"
