MATERIAL SUPPLY OF THE PLANTS (INBOUND);2022;2022;2023;2023
Transport volume in million tkm;26600;;23099;
CO2e emissions in t;974238;;1229301;
DISTRIBUTION OF VEHICLES (OUTBOUND);;;;
Transport volume in million tkm;25511;;31263;
CO2e emissions in t;1226423;;1516823;
TOTAL MATERIAL SUPPLY OF THE PLANTS AND DISTRIBUTION OF VEHICLES (INBOUND AND OUTBOUND);;;;
Transport volume in million tkm;52111;;54362;
CO2e emissions in t;2200661;;2746124;
CUSTOMER SUPPORT LOGISTICS (AFTERSALES LOGISTICS);;;;
Transport volume in million tkm;2447;;2267;
CO2e emissions in t;174017;;183417;
PERCENTAGE SHARE OF CARRIERS IN TOTAL IN TERMS OF TRANSPORT VOLUME AND CO2 EMISSIONS;tkm;gCO2e;tkm;gCO2e
Sea in %;77.1;43.4;76.7;41.7
Road in %;14.4;31.7;14.2;30.9
Rail in %;7.3;5.5;7.5;5.2
Air in %;1.2;19.4;1.6;22.2
