index,question,value,response,correct
0,Which companies have the 4 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in tCO2e?,"otc_rwnef, otc_bayzf, munich-re, otc_adddf"," otc_rwnef, munich-re, otc_adddf, vivendi",False
1,What is the total energy consumption generated by the following companies in the last 2 years in TWh?,326.11, 3.43 twh,False
2,Which company has the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,otc_rwnef, otc_rwnef,True
3,What are the 3 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in MtCO2eq?,"43.79, 0.04, 0.03"," 43664.00, 33093.00, 31774.00",False
4,What are the 2 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in tCO2e?,"73650000.0, 43790000.0"," 85400, 61900",False
5,What are the top 5 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"76992.0, 282307.0, 34774500.0, 94006047.43, 161500000.0"," 35056.00, 76992.00, 121800.00, 161500.00, 282307.00",False
6,What is the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tons CO2e?,1900000.0, 38378.50,False
7,What is the highest water consumption calculated as the average of the 2023 and 2022 consumption for the following companies in millions of cu.m?,40.3, 40.30,True
8,What is the average percentage variation of direct GHG emissions from 2022 to 2023 among the following companies?,20.34, -20.34%,True
9,What are the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in TCO2eq?,"10759.5, 21490.0"," 1.89, 1.91",False
10,Which company has the lowest total GHG emissions (both direct and indirect) in the last 2 years among the following companies in tCO2e?,nyse_az, otc_bayzf,False
11,Which company has the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,deutsche-telekom-ag, otc_dpsgy,False
12,Which companies have the top 4 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in TWh?,"nyse_tte, heidelberg-materials, otc_dpsgy, otc_su"," heidelberg-materials, otc_dpsgy, nyse_tte, otc_su",False
13,Which company has the lowest total energy consumption over the last 2 years among the following companies in MWh?,nasdaq_dasty, otc_dpsgy,False
14,What is the total energy consumption generated by the following companies in the last 2 years in MWh?,395593201.0, 3076750.00 mwh,False
15,Which company has the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,otc_su, otc_su,True
16,Which company has the lowest percentage variation of waste generated from 2022 to 2023 among the following companies?,otc_su, heidelberg-materials,False
17,What is the average percentage variation of direct GHG emissions from 2022 to 2023 among the following companies?,2.34, -0.88%,False
18,What is the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,5.6, 5.60,True
19,Which company has the highest average amount of waste generated in the years 2023 and 2022 among the following companies in kt?,otc_bamgf, otc_bamgf,True
20,What are the top 2 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"76992.0, 282307.0"," 282307.00, 1162801.50",False
21,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,7.61, 7.51,False
22,Which companies have the top 3 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"munich-re, otc_su, deutsche-telekom-ag"," deutsche-telekom-ag, nyse_tte, munich-re",False
23,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,76.57, 76.13,False
24,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,80.19, 81.50,False
25,Which companies have the top 3 highest water consumption values (in descending order) obtained by summing the 2023 and 2022 consumption for the following companies in millions of m3?,"otc_esocf, otc_crerf, otc_bayzf"," otc_bamgf, munich-re, otc_esocf",False
26,What is the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,32.84, 32.85,False
27,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in Million metric tons of CO2 equivalents?,otc_esocf, nasdaq_dasty,False
28,What is the largest percentage of energy consumption from renewable sources in 2023 among the following companies?,84.0, 84.00,True
