"Topic Workforce Health and Safety;Accounting metric;Code;References /comments
;1) Total recordable incident rate (TRIR) and 2) fatality rate for (a) direct employees and (b) contract employees;RT-CH-320a.1;NFR, p. 101. At Brenntag, TRIR is defined as the total recordable injury rate, the number of workplace accidents involving injuries that require medical treatment (beyond first aid), per one million work hours.
;Description of efforts to assess, monitor, and reduce exposure of employees and contract workers to long-term (chronic) health risks;RT-CH-320a.2;NFR, pp. 99-101
Product Design for Use-phase Efficiency;Revenue from products designed for use-phase resource efficiency;RT-CH-410a.1;NFR, pp. 96, 97,116
Environmental Stewardship of Chemicals;(1) Percentage of products that contain Globally Harmonized System of Classification and Labeling of Chemicals (GHS) Category 1 and 2 Health and Environmental Hazardous Substances (2) Percentage of such products that have undergone a hazard assessment;RT-CH-410b.1;(1) EMEA: 69% North America: 46% (2) EMEA: 92% North America: 100%
;Discussion of strategy to (1) manage chemicals of concern and (2) develop alternatives with reduced human and/or environmental impact;RT-CH-410b.2;NFR, pp. 96-97
Genetically Modified Organisms;Percentage of products by revenue that contain genetically modified organisms (GMOs);RT-CH-410c.1;Not relevant
Management of the Legal &amp; Regulatory Environment;Discussion of corporate positions related to government regulations and/or policy proposals that address environmental and social factors affecting the industry;RT-CH-530a.1;Management Report, pp. 170-179 NFR, pp. 96-97
Operational Safety, Emergency Preparedness &amp; Response;Process Safety Incidents Count (PSIC), Process Safety Total Incident Rate (PSTIR), and Process Safety Incident Severity Rate (PSISR);RT-CH-540a.1;NFR, pp. 99-101
Activity Metric;Production by reportable segment;RT-CH-000.A;Not reported
Driver Working Conditions;(1) Total recordable incident rate (TRIR) and (2) fatality rate for (a) direct employees and (b) contract employees;TR-RO-320a.1;NFR, p. 101. At Brenntag, TRIR is defined as the total recordable injury rate, the number of workplace accidents involving injuries that require medical treatment (beyond first aid), per one million work hours.
;(1) Voluntary and (2) involuntary turnover rate for all employees;TR-RO-320a.2;NFR, p. 102 Employees | Brenntag
;Description of approach to managing short-term and long-term driver health risks;TR-RO-320a.3;NFR, pp. 99-101 Health risks for specific functions are only assessed locally."
