"Economic activities (1);code (2);capex (3);proportion of capex, year 2023 (4);climate change mitigation (5);climate change adaptation (6);water (7);pollution (8);circular economy (9);biodiversity (10)
A. TAXONOMY-ELIGIBLE ACTIVITIES;;;;
A.1 Environmentally sustainable activities (Taxonomy-aligned);;;;
none;;EUR 0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%
A.2 Taxonomy-eligible but not environmentally sustainable activities (not Taxonomy-aligned activities);;;;
Freight transport services by road;CCM 6.6.;EUR 19,571,571;3.18%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
Manufacture of other low carbon technologies;CCM 3.6.;EUR 5,404,921;0.88%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
Transport by motorbikes, passenger cars and light commercial vehicles;CCM 6.5.;EUR 31,293,713;5.09%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
Installation, maintenance and repair of renewable energy technologies;CCM 7.6.;EUR 2,074,892;0.34%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
Construction of new buildings;CCM 3.1./ CE7.1.;EUR 17,255,459;2.80%;EL;N/EL;N/EL;N/EL;EL;N/EL
Acquisition and ownership of buildings;CCM 7.7.;EUR 129,635,627;21.07%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
Installation, maintenance and repair of energy efficiency equipment;CCM 7.3.;EUR 4,097,581;0.67%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
Installation, maintenance and repair of charging stations for electric vehicles in buildings (and parking spaces attached to buildings);CCM 7.4.;EUR 380,854;0.06%;EL;N/EL;N/EL;N/EL;N/EL;N/EL
Urban waste water treatment;WTR 2.2.;EUR 380,400;0.06%;N/EL;N/EL;EL;N/EL;N/EL;N/EL
Treatment of hazardous waste;CE 2.4./ PPC 2.2.;EUR 194,933;0.03%;N/EL;N/EL;N/EL;EL;EL;N/EL
Remediation of contaminated sites and areas;PPC 2.4.;EUR 52,324;0.01%;N/EL;N/EL;N/EL;EL;N/EL;N/EL
CapEx of Taxonomy-eligible but not environmentally sustainable activities (not Taxonomy-aligned) (A.2);;EUR 210,342,275;34.19%;34.09%;0.00%;0.06%;0.04%;0.00%;0.00%
(A.1+A.2);;EUR 210,342,275;34.19%;34.09%;0.00%;0.06%;0.04%;0.00%;0.00%"
