"(million euros);2023;2022;Type of contract
;Revenues;;
FiberCop S.p.A.;1,360;1,280;Commissioned construction of secondary copper and fiber network developments; ordinary and extraordinary maintenance services on the secondary copper and fiber network; administrative services related to the IRU acquisition and transfer of secondary access network installation infrastructure; provision of Erp, separation, Desktop Management, TSA, SDI-AM services; voice services
TIM Retail S.r.L.;80;79;Supply of products intended for public sale; voice services, data transmission, MPLS connectivity, advanced hosting and ICT services for corporate use; property leases
Telecom Italia Sparkle S.p.A.;41;45;Customized voice and data transmission services, services relating to the interconnection between Telecom Italia Sparkle and TIM communications networks with particular reference to accesses and international traffic, sale of IRU dark fiber and installation infrastructures, property leasing and facility services, Oracle software maintenance
TIM S.A.;31;27;Roaming services; assistance and provision of licenses in the field of network, information technology, marketing &amp; sales activities; Royalties Trademark License Agreement
Noovle S.p.A. Societa Benefit;27;19;Voice services, supply of ICT products, real estate and operating services, facility services, security services
Olivetti S.p.A. Societa Benefit;5;5;Fixed and mobile telephony services and equipment sales, MPLS and fiber connectivity services for the national data network, property leases, HP system hardware maintenance, dimensional upgrade of the APN Shared platform, functional evolution of the Capillary Network and Capnet platform for provisioning and managing equipment
Telecontact S.p.A.;4;4;Lease of properties and facility management services, supply of fixed and mobile network and IP connectivity telecommunications products and services, security services
Telecom Italia Trust Technologies S.r.l.;3;2;Voice services, management and supply of ICT Security &amp; Risk Management services, property leasing, Spid activation service
Telsy S.p.A.;3;1;Fixed and mobile telephony services and supply of products and licenses, property leases and facility management services
TIM Servizi Digitali S.p.A.;3;5;Fixed and mobile telephony services, sale of materials to be used to develop the FTTH network
Telenergia S.p.A.;2;2;Outsourcing for company business, supply of operative assistance services
Telecom Italia S.Marino S.p.A.;2;2;Connection and telecommunications services (interconnection contracts for the sale of data services such as bitstream; IRU transfer of dark fiber connections and installation infrastructures; ULL; Shared Access; DSLAM devices; SUBLOOP FTTC), voice services, product sales
Telefonia Mobile Sammarinese S.p.A.;1;1;Mobile telephone and telecommunications product sales
;Total Revenues;1,562;1,472;"
