"(million euros);12.31.2022;Increase;Taken to income;Used directly |;Exchange differences and other changes;12.31.2023
Provision for taxation and tax risks;89;18;;(3);25;129
Provision for restoration costs;334;30;(1);(11);(42);310
Provision for legal disputes;444;92;;(76);12;472
Provision for commercial risks;362;57;4;(174);2;251
Provision for risks and charges on investments and corporate-related transactions;11;0;0;;0;11
Other provisions;4;1;;(3);0;12
Total;1,254;198;3;(267);(3);1,185
of which:;
non-current portion;910;;;;
current portion;344;;;;"
