"(million euros);12.31.2021;| Investments |;— Depreciation and amortization;Impairment | (losses) / reversals;Disposals |;— Exchange differences;Other} changes;12.31.2022
Land;232;; ; ;(1);1;;232
Buildings (civil and industrial);597;34;(37); ; ;1;56;651
Plant and equipment;11,254;2,198;(2,145); ;(28);202;521;12,002
Manufacturing and distribution equipment;19;7;(8); ; ; ;2;20
Other;367;105;(158); ;(1);13;36;362
Construction in progress and advance payments;842;484;; ;(3);11;(501);833
Total;13,311;2,828;(2,348);-;(33);228;114;14,100
(million euros);12.31.2022 |;Investments |;— Depreciation and amortization;Impairment | (losses)/ Reversals;Disposals;| Exchange differences;Other] changes;12.31.2023
Land;232;; ; ;(4);1; ;229
Buildings (civil and industrial);651;19;(37);(4);24;653
Plant and equipment;12,002;2,081;(2,162); ;(25);76;438;12,410
Manufacturing and distribution equipment;20;8;(7); ; ;(1);20
Other;362;100;(155); ;(1);5;18;329
Construction in progress and advance payments;833;733;; ;(1);3;(517);1,051
Total;14,100;2,941;(2,361);-;(35);84;(37);14,692"
