"(million euros);Gross carrying amount |;Accumulated impairment losses;Accumulated| amortization;Net carrying amount
Rights of use on intangible assets;;;
Rights of use Concessions, Licenses, Trademarks and Similar Rights;4; (3);(4); 
Work in progress and advance payments;-;;;
;4; ;(3);1
Rights of use on tangible assets;;;
Property;5,252; (13);(2,773);2,466
Plant and equipment;1,315; ;(587);728
Equipment;-;;;
Other;192; ;(144);48
Assets in progress and advance payments;29; ; ;29
;6,788; (13);(3,504);3,271
Total;6,792; (13);(3,508);3,271"
