"csv
Plant;vehicles;Production
Batilly (Sovab);Master 3 Master 3 E-Tech Electric Master Hydrogen Nissan Interstar Others;92,989 788 42 8,940 19,042
Total vehicles Batilly;;121,801
Dieppe (Alpine);Alpine A110;3,782
Total vehicles Dieppe;;3,782
Douai (ElectriCity);Espace 5 Scenic Talisman Megane E-Tech;894 6,298 1,487 46,722
Total vehicles Douai;;55,401
Flins;ZOE Nissan Micra;32,600 38,090
Total vehicles Flins;;70,690
Maubeuge (ElectriCity);Kangoo 2 E-Tech Kangoo 3 Kangoo 3 E-Tech Nissan Townstar Others;3,000 32,859 7,870 11,323 24,587
Total vehicles Maubeuge;;79,639
Sandouville;Trafic 3 Nissan Primastar Mitsubishi Express Others;88,850 9,531 1,159 1,327
Total vehicles Sandouville;;100,867
Total vehicles France;;432,180
Caudan (FdB);lron foundry (in metric tons);13,555
Choisy-le-Roi;ES Gearboxes ES Engines;5,828 9,221
Cléon;Gearboxes Combustion engines Electric motors Aluminium foundry (in metric tons);199,555 276,003 317,343 13,163
Le Mans;Chassis components lron foundry (in metric tons);997,543 89,416
Ruitz (ElectriCity);Gearboxes automatiques;200,063
Villeurbanne/Meyzieu;Chassis components;134,678"
