";Stage 1;Stage 2;Stage 3;POCI;Total;Stage 1;Stage 2;Stage 3;POCI;Total
Agriculture, forestry and fishing;425;76;23;0;525;1;1;8;0;10
Mining and quarrying;2,227;137;70;0;2,434;4;5;23;0;32
Manufacturing;25,151;4,670;1,163;84;31,068;35;64;519;3;620
Electricity, gas, steam and air conditioning supply;6,226;563;51;0;6,839;4;5;33;0;42
Water supply, sewerage, waste management and remediation activities;624;63;39;0;726;1;1;6;0;8
Construction;3,453;540;203;87;4,282;5;9;91;10;115
Wholesale and retail trade, repair of motor vehicles and motorcycles;18,710;2,530;733;31;22,004;20;30;383;3;437
Transport and storage;5,233;642;225;28;6,127;9;8;65;(0);83
Accommodation and food service activities;1,385;466;112;6;1,969;2;5;59;1;67
Information and communication;7,096;614;127;17;7,854;14;13;94;0;122
Financial and insurance activities;356,491;8,991;1,999;402;367,883;129;73;472;46;720
Real estate activities;41,450;6,345;896;238;48,929;30;22;116;71;239
Professional, scientific and technical activities;6,147;721;218;1;7,087;6;9;104;0;119
Administrative and support service activities;8,429;1,003;383;18;9,833;9;13;94;6;121
Public administration and defense, compulsory social security;30,984;418;923;0;32,325;15;0;17;0;33
Education;205;41;4;0;251;0;1;2;0;3
Human health services and social work activities;4,188;351;83;0;4,622;8;12;12;0;32
Arts, entertainment and recreation;922;185;28;1;1,137;1;5;2;0;9
Other service activities;7,198;818;226;123;8,365;10;6;133;25;174
Activities of households as employers, undifferentiated goods - and services - producing activities of households for own use;194,959;16,160;3,874;6;215,000;229;343;1,423;15;2,010
Activities of extraterritorial organizations and bodies;41;0;0;0;41;0;0;0;0;0"
