"in€m.;at amortized cost!;trading - at fair value through P&amp;L;Designated / mandatory at fair value through P&amp;L.;Loans at fair value through OCP;Revocable and irrevocable lending commitments?;Contingent liabilities;OTC derivatives at fair value through P&amp;L*
Agriculture, forestry and fishing;524;2;0;0;275;17;2
Mining and quarrying;2,392;248;40;0;5,636;2,644;41
Manufacturing;30,534;380;7;1,431;58,584;13,053;1,863
Electricity, gas, steam and air conditioning supply;4,893;107;75;28;6,479;3,779;145
Water supply, sewerage, waste management and remediation activities;725;0;0;0;457;158;245
Construction;4,239;233;0;21;3,198;2,927;75
Wholesale and retail trade, repair of motor vehicles and motorcycles;21,535;224;39;806;16,947;6,795;570
Transport and storage;5,547;409;22;90;6,254;1,061;170
Accommodation and food service activities;1,965;7;0;0;1,137;110;14
Information and communication;7,002;489;62;231;14,567;3,317;960
Financial and insurance activities;116,558;3,186;620;969;74,787;28,173;22,881
Real estate activities;47,973;1,556;101;41;7,251;192;452
Professional, scientific and technical activities;7,013;124;0;0;5,070;2,309;108
Administrative and support service activities;7,470;199;192;62;5,101;1,062;413
Public administration and defense, compulsory social security;5,287;552;10;128;6,767;60;398
Education;249;0;0;0;125;53;169
Human health services and social work activities;4,523;31;0;0;1,898;146;36
Arts, entertainment and recreation;1,128;1;0;50;1,507;106;83
Other service activities;4,152;206;39;210;4,037;793;68
Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;214,795;0;0;1;30,943;455;189"
