";Maximum exposure;Subject to;;;Guarantees and Credit;Total credit
;n€m. to credit risk? impairment Netting Collateral derivatives? enhancements
;""inancial assets at amortized cost?
Cash and central bank balances;178424;178424;=;0;=;0
Interbank balances (w/o central banks);6144;6144;=;0;0;0
Central bank funds sold and securities
purchased under resale agreements;14725;14725;=;13761;=;13761
Securities borrowed;39;39;=;33;=;33
Loans;478879;478879;=;260047;42191;302239
Other assets subject to credit risk*;82826;77520;24037;914;644;25594
Total financial assets at amortized cost?;761036;755731;24037;274755;42835;341626
;-inancial assets at fair value through profit or loss®
Trading assets;122841;=;=;1458;951;2408
Positive market values from derivative
financial instruments;251856;=;195499;40036;12;235547
Non-trading financial assets mandatory
at fair value through profit or loss;87153;=;1931;76894;92;78917
Of which:;
Securities purchased under resale
agreement;65937;-;1931;63877;0;65807
Securities borrowed;13036;=;=;12863;0;12863
Loans;812;=;=;89;72;160
Financial assets designated at fair value
through profit or loss;75;=;=;0;0;0
Total financial assets at fair value through
profit or loss;461925;2;197430;118388;1055;316872
;-inancial assets at fair value through OCI;35546;35546;0;2744;988;3732
Of which:;
purchased agreement;1805;1805;=;1740;0;1740
Securities borrowed;0;0;=;0;0;0
Loans;4867;4867;=;16;976;991
Total financial assets at fair value through;ICI;35546;35546;=;2744;988;3732
;- inancial guarantees and other credit
‘elated contingent liabilities’;65131;64798;=;4127;7136;11263
2 evocable and irrevocable lending -ommitments and other credit related
commitments;255409;254016;=;21736;6779;28515
[otal off-balance sheet;320540;318814;=;25863;13915;39777
Maximum exposure to credit risk;1579048;1110090;221466;421750;58792;702008"
