"in€m.;Total amount of deferred remuneration awarded for previous performance;Of which due to vest in the;Of which vesting in subsequent;Amount of performance adjustment made in the financial year to deferred remuneration that was due to vest in the;Performance adjustment made in the financial year to deferred remuneration that was due to vest in future performance;Total amount of adjustment during the financial year due to expost implicit;Total amount of deferred remuneration awarded before the financial year actually paid out in the financial year;Amount of deferred remuneration awarded for previous performance period that has vested but is subject to retention
(unless stated otherwise)! Supervisory Board?;0;0;0;0;0;0;0;0
Cash-based;0;0;0;0;0;0;0;0
Shares or equivalent ownership interests;0;0;0;0;0;0;0;0
Share-linked instruments or equivalent non-cash;0;0;0;0;0;0;0;0
Other instruments;0;0;0;0;0;0;0;0
Other forms;0;0;0;0;0;0;0;0
Management Board?;123;12;111;0;0;8;12;3
Cash-based;55;8;46;0;0;0;8;0
Shares or equivalent ownership interests;68;3;64;0;0;8;3;3
Share-linked instruments or equivalent non-cash;0;0;0;0;0;0;0;0
Other instruments;0;0;0;0;0;0;0;0
Other forms;0;0;0;0;0;0;0;0
Senior Management;405;102;303;0;2;28;102;50
Cash-based;197;49;148;0;1;0;48;0
Shares or equivalent ownership interests;194;50;144;0;1;26;50;47
Share-linked instruments or equivalent non-cash;12;3;9;0;0;1;3;3
Other instruments;2;0;2;0;0;0;0;0
Other forms;0;0;0;0;0;0;0;0
Other Material Risk Takers;1,536;439;1,096;0;0;99;438;183
Cash-based;756;215;542;0;0;0;214;0
Shares or equivalent ownership interests;779;224;554;0;0;99;223;183
Share-linked instruments or equivalent non-cash;1;0;1;0;0;0;0;0
Other instruments;0;0;0;0;0;0;0;0
Other forms;0;0;0;0;0;0;0;0
Total amount;2,064;553;1,510;0;2;135;551;236"
