"in€m.;at amortized cost;at fair value through P&amp;L;at fair value through OCI;at amortized cost;at fair value through P&amp;L;at fair value through OCI;Total
Agriculture, forestry and fishing;0;0;0;0;0;0;643
Mining and quarrying;46;486;2;0;0;0;10,012
Manufacturing;0;1,481;54;0;0;0;100,783
Electricity, gas, steam and air conditioning supply;175;776;20;0;0;0;15,289
Water supply, sewerage, waste management and remediation activities;29;26;0;0;0;0;1,250
Construction;130;387;133;0;0;0;11,177
Wholesale and retail trade, repair of motor vehicles and motorcycles;0;458;2;0;0;0;45,973
Transport and storage;66;481;15;0;0;0;13,548
Accommodation and food service activities;5;90;0;0;0;0;3,124
Information and communication;95;531;0;0;0;0;25,449
Financial and insurance activities;4,639;25,416;4,789;14,695;76,785;1,805;381,232
Real estate activities;227;1,159;546;69;0;0;60,343
Professional, scientific and technical activities;49;151;111;0;0;0;15,843
Administrative and support service activities;51;436;8;0;0;0;15,950
Public administration and defense, compulsory social security;15,907;83,791;22,725;0;2,154;0;137,893
Education;0;160;9;0;0;0;645
Human health services and social work activities;99;95;11;0;0;0;6,543
Arts, entertainment and recreation;0;58;0;0;0;0;2,683
Other service activities;124;3,028;151;0;34;0;13,936
Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;0;0;0;0;0;0;238,385
Activities of extraterritorial organizations and bodies;205;1,476;298;0;0;0;2,010
Total;21,847;120,485;28,874;14,764;78,973;1,805;1,102,711"
