"in € m.;Balance, beginning of year;Changes in the group of _—_consoli- dated companies;Total gains/ losses!;Purchases;Sales;Issu- ances?;Settle ments?;Transfers into Level 34;Transfers out of Level 34;Balance, end of year
Financial assets held at fair value:;;;;;;;;
Trading securities;3,053;0;22;1,651;(974);43;(615);545;(532);3,194
Positive market values from derivative financial;;;;;;;;
Other trading assets;5,494;0;42;604;(997);2,253;(1,424);636;(383);6,226
Non-trading financial assets mandatory at fair value through profit or loss;5,790;15;(51);682;(254);504;(1,190);211;(681);5,028
Financial assets designated at fair value;;;;;;;;
through profit or loss Financial assets at fair value through other comprehensive income;94;0;0;0;0;0;(94);0;0;0
Other financial assets at fair value;2,676;0;(65);238;(214);1,918;(1,280);184;(509);2,949
Total financial assets held at fair value;26,675;15;5,357;3,176;(2,438);4,719;(5,140);3,650;(5,110);25,599
Financial liabilities held at fair value:;;;;;;;;
Trading securities market values;30;0;(4);0;0;0;0;0;(0);26
Negative from derivative financial instruments;8,500;0;101;0;0;0;(435);1,848;(2,348);7,666
Other trading liabilities;3;0;3;0;0;0;(6);0;0;0
Financial liabilities designated at fair value through profit or loss;2,792;0;43;0;0;2,272;(853);27;(1,032);3,248
Other financial liabilities at fair value;(511);0;325;0;0;0;54;3;44;(85)
Total financial liabilities held at fair value;10,815;0;468;0;0;2,272;(1,240);1,878;(3,336);10,856"
