"Serial No.;Name of company;Domicile of company;Foot- note Nature of activity;Capital in %
412;dynamic infrastructure securities fund lp;wilmington;financial institution;
413;earls four limited;george town;5;other enterprise
414;einkaufszentrum ""hvd dresden"" s.à.r.l &amp; co. kg i.i.;cologne;other enterprise;
415;eirles three designated activity company;dublin;5;other enterprise
416;emerald asset repackaging designated activity company;dublin;financial institution;100.0
417;emerging markets capital protected investments limited;george town;5;other enterprise
418;emeris;george town;financial institution;
419;encina property finance designated activity company;dublin;financial institution;
420;epicuro spv s.r.l.;conegliano;other enterprise;
421;eret lux 1 s.à r.l.;luxembourg;other enterprise;100.0
422;erste frankfurter hoist gmbh;frankfurt;financial institution;100.0
423;european real estate transformation fund s.c.a. sicav -raif;luxembourg;other enterprise;99.9
424;fondo privado de titulización pymes i designated activity company;dublin;other enterprise;
425;freddie mac class a taxable multifamily m certificates series m -037;mc lean;ancillary services undertaking;100.0"
